브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고주수,전년재고주수,재고주수차이(당년-전년)
M,Shoes,SX,스니커즈,4067,556804095,76%,12%,5576,268247,48.1,48.6,-0.5
M,Shoes,SH,신발,3295,362721101,86%,8%,4368,300846,68.9,71.9,-3.0
M,Bag,BQ,숄더백,1551,157364077,72%,3%,1751,101429,57.9,39.6,18.3
M,Shoes,RN,런닝화,953,129726535,105%,3%,990,112756,113.9,45.8,68.1
M,Bag,OR,쇼퍼백,636,94485115,137%,2%,1013,12869,12.7,31.8,-19.0
M,Shoes,WB,방한화,738,77024834,93%,2%,614,33607,54.7,49.7,5.0
M,Headwear,HT,햇,1078,68045482,77%,1%,1066,44772,42.0,64.9,-22.9
M,Bag,BM,버킷백,454,54609409,264%,1%,315,20421,64.8,101.5,-36.6
M,Headwear,WM,방한모,543,40215843,299%,1%,484,13287,27.5,112.3,-84.8
M,Acc_etc,MF,머플러(스카프),497,35975091,159%,1%,227,7284,32.1,56.9,-24.8
M,Bag,CR,크로스백,364,35325241,79%,1%,349,40054,114.8,93.1,21.6
M,Bag,HS,힙색,230,22168142,30%,0%,375,14243,38.0,26.1,11.8
M,Acc_etc,SO,양말,731,11308970,147%,0%,737,63936,86.8,227.7,-140.9
M,Acc_etc,ET,기타,357,10419833,442%,0%,138,3041,22.0,164.3,-142.3
M,Bag,BK,백팩,65,8042175,104%,0%,74,16163,218.4,121.7,96.7
M,Acc_etc,PO,파우치,134,3684569,46%,0%,147,2936,20.0,51.5,-31.6
M,Shoes,LP,슬리퍼,31,1723439,100%,0%,33,48694,1475.6,1329.4,146.2
M,Shoes,MU,뮬,32,1484200,11%,0%,53,47685,899.7,264.7,635.0
M,Bag,BG,가방,10,1271200,42%,0%,34,13772,405.1,634.8,-229.8
M,Headwear,MC,메시캡,18,922000,,0%,19,6317,332.5,,
M,Shoes,SD,샌들,13,727100,343%,0%,11,55378,5034.4,2333.2,2701.2
M,Acc_etc,GL,장갑,17,628217,,0%,12,1899,158.3,,
M,Acc_etc,HH,캐리어(하드케이스),1,242360,30%,0%,3,870,290.0,60.7,229.3
M,Shoes,SQ,아쿠아 슈즈,2,178000,,0%,2,9226,4613.0,1941.0,2672.0
M,Headwear,SC,선캡,3,107000,,0%,4,2303,575.8,,
M,Acc_etc,ML,토시,10,95000,,0%,3,887,295.7,,
M,Shoes,CV,캔버스화,0,0,,0%,0,12,,,
M,Headwear,CB,여성 베레모,0,0,0%,0%,0,138,,21.0,
M,Acc_etc,MK,마스크(패션용),0,0,,0%,0,8,,,
M,Bag,BW,보스톤백,0,0,,0%,1,2148,2148.0,3948.5,-1800.5
M,Acc_etc,TW,타올,0,0,,0%,0,1,,,
ST,Shoes,SH,신발,95,8144600,137%,46%,93,10351,111.3,444.8,-333.5
ST,Headwear,CP,운동모,38,1934720,60%,11%,58,3835,66.1,47.6,18.5
ST,Bag,BW,보스톤백,9,1578200,55%,9%,17,633,37.2,87.4,-50.2
ST,Acc_etc,SO,양말,74,1550690,48%,9%,129,10681,82.8,40.6,42.2
ST,Bag,TG,토드백,12,1520290,80%,9%,13,1600,123.1,254.3,-131.2
ST,Headwear,SC,선캡,15,883220,48%,5%,20,2916,145.8,108.6,37.2
ST,Bag,BK,백팩,8,830900,41%,5%,8,1574,196.8,147.0,49.8
ST,Bag,RB,라켓백,7,751800,34%,4%,6,971,161.8,121.1,40.7
ST,Acc_etc,AM,머플러,2,167200,209%,1%,2,410,205.0,276.0,-71.0
ST,Headwear,BN,비니,3,165600,66%,1%,3,683,227.7,98.0,129.7
ST,Acc_etc,PR,보호대,5,106500,27%,1%,11,2161,196.5,109.8,86.7
ST,Acc_etc,AC,기타소품류,3,105000,53%,1%,2,1306,653.0,188.3,464.8
ST,Acc_etc,HB,헤드밴드,2,69150,42%,0%,4,864,216.0,96.3,119.7
ST,Headwear,HT,햇,1,23600,17%,0%,2,852,426.0,461.8,-35.8
ST,Acc_etc,LL,볼,0,0,0%,0%,0,34,,,
ST,Acc_etc,RK,라켓,0,0,0%,0%,0,513,,52.0,
ST,Bag,CR,크로스백,0,0,0%,0%,2,698,349.0,378.0,-29.0
ST,Acc_etc,TW,타올,0,0,,0%,0,8,,,
ST,Bag,SG,슬링백,0,0,0%,0%,1,131,131.0,,
ST,Shoes,LP,슬리퍼,0,0,,0%,1,593,593.0,,
V,Shoes,WB,방한화,125,26286240,185%,41%,89,5614,63.1,54.3,8.8
V,Bag,TG,토드백,31,10149700,255%,16%,32,1990,62.2,54.4,7.8
V,Headwear,HT,햇,42,6124700,230%,9%,33,1527,46.3,109.2,-62.9
V,Bag,BK,백팩,15,5079710,177%,8%,14,497,35.5,53.8,-18.3
V,Bag,CR,크로스백,24,4609370,162%,7%,17,1219,71.7,116.7,-45.0
V,Headwear,CP,운동모,33,3581620,425%,6%,26,726,27.9,163.3,-135.3
V,Shoes,SH,신발,13,1708380,83%,3%,25,1100,44.0,276.2,-232.2
V,Headwear,BN,비니,13,1222320,108%,2%,18,1055,58.6,123.2,-64.6
V,Acc_etc,AG,장갑,12,1179200,327%,2%,8,448,56.0,117.3,-61.3
V,Acc_etc,ML,토시,10,1174200,602%,2%,9,269,29.9,95.0,-65.1
V,Acc_etc,DC,다운 스카프,4,890000,,1%,5,425,85.0,176.0,-91.0
V,Acc_etc,SO,양말,36,807790,152%,1%,35,1171,33.5,199.5,-166.1
V,Headwear,WM,방한모,4,627000,95%,1%,4,208,52.0,167.0,-115.0
V,Bag,BG,가방,2,564210,,1%,3,476,158.7,,
V,Acc_etc,MF,머플러(스카프),2,527000,,1%,5,770,154.0,,
V,Shoes,MU,뮬,1,106400,84%,0%,3,118,39.3,,
V,Bag,HS,힙색,1,90000,,0%,4,122,30.5,,
V,Acc_etc,GL,장갑,0,0,0%,0%,0,21,,57.0,
V,Acc_etc,PO,파우치,0,0,,0%,0,10,,,
V,Bag,EB,기타가방,0,0,0%,0%,0,16,,24.5,
V,Bag,TA,벨트백,0,0,0%,0%,1,36,36.0,59.0,-23.0
V,Headwear,SC,선캡,0,0,0%,0%,2,201,100.5,193.0,-92.5
V,Shoes,LP,슬리퍼,0,0,,0%,0,405,,,
W,Shoes,SH,신발,84,3390540,39%,38%,59,3097,52.5,127.2,-74.8
W,Headwear,CP,운동모,118,1872006,72%,21%,107,4599,43.0,114.4,-71.4
W,Bag,BW,보스톤백,29,1311000,,15%,15,268,17.9,,
W,Bag,BG,가방,61,1193828,130%,13%,31,1939,62.5,522.0,-459.5
W,Shoes,WB,방한화,10,290000,,3%,13,219,16.8,84.7,-67.8
W,Bag,TG,토드백,4,156000,,2%,2,151,75.5,,
W,Bag,BK,백팩,3,147000,85%,2%,4,1409,352.3,285.0,67.3
W,Headwear,HT,햇,9,121000,175%,1%,10,2152,215.2,316.0,-100.8
W,Acc_etc,SO,양말,12,108000,70%,1%,6,81,13.5,77.0,-63.5
W,Bag,CR,크로스백,3,97000,,1%,4,655,163.8,152.0,11.8
W,Shoes,LP,슬리퍼,3,83100,53%,1%,4,600,150.0,319.0,-169.0
W,Headwear,BN,비니,5,83090,15%,1%,7,283,40.4,27.4,13.0
W,Headwear,SC,선캡,0,0,,0%,1,169,169.0,,
W,Bag,HS,힙색,0,0,,0%,1,302,302.0,387.0,-85.0
W,Headwear,WM,방한모,0,0,,0%,0,83,,115.0,
X,Shoes,SH,신발,7978,766961394,85%,59%,7344,380651,51.8,60.9,-9.1
X,Bag,BK,백팩,1326,166030092,99%,13%,1129,153384,135.9,154.9,-19.1
X,Acc_etc,DC,다운 스카프,2706,104399077,116%,8%,1908,68259,35.8,32.3,3.5
X,Headwear,CP,운동모,1357,49789427,106%,4%,1285,83731,65.2,52.4,12.8
X,Bag,CR,크로스백,695,40631350,91%,3%,664,43926,66.2,62.9,3.3
X,Bag,SG,슬링백,496,34908160,88%,3%,675,21659,32.1,35.6,-3.5
X,Headwear,BN,비니,970,30034998,123%,2%,725,30829,42.5,61.6,-19.1
X,Shoes,LP,슬리퍼,457,22153228,94%,2%,560,34104,60.9,39.5,21.4
X,Acc_etc,GL,장갑,1217,19332014,141%,1%,1217,15004,12.3,90.2,-77.8
X,Bag,TG,토드백,455,17902080,148%,1%,267,20089,75.2,189.5,-114.3
X,Headwear,HT,햇,264,10471573,50%,1%,271,33592,124.0,97.9,26.1
X,Acc_etc,AC,기타소품류,440,10172832,62%,1%,266,14246,53.6,81.7,-28.2
X,Headwear,WM,방한모,147,9748080,,1%,135,8304,61.5,,
X,Acc_etc,SO,양말,827,8089812,105%,1%,889,66835,75.2,87.7,-12.5
X,Bag,MR,메신저백,80,6618290,40%,1%,85,14260,167.8,99.1,68.6
X,Bag,HS,힙색,74,4158908,82%,0%,72,7907,109.8,77.1,32.7
X,Acc_etc,MS,멀티스카프,124,3302000,60%,0%,102,6359,62.3,86.7,-24.3
X,Bag,BG,가방,36,2226985,140%,0%,37,4935,133.4,259.7,-126.4
X,Acc_etc,MK,마스크(패션용),50,1689772,437%,0%,32,3478,108.7,154.1,-45.4
X,Bag,BW,보스톤백,35,1535890,64%,0%,37,3012,81.4,166.3,-84.9
X,Bag,BZ,바디백,5,457380,,0%,9,584,64.9,,
X,Acc_etc,ML,토시,7,139820,110%,0%,13,7503,577.2,1527.5,-950.4
X,Acc_etc,PO,파우치,0,0,,0%,0,23,,,
