브랜드,대분류,중분류,아이템코드,아이템명(한글),발주(TAG),전년비(발주),주간판매매출(TAG),전년비(주간),누적판매매출(TAG),전년비(누적),누적판매율당년,누적판매율차이,전년마감판매율,누적판매TAG가,누적입고TAG가,전년누적판매TAG가,전년누적입고TAG가,전년마감누적판매TAG가,전년마감누적입고TAG가
I,의류,Outer,DJ,다운점퍼,31519737000,1.1826,495297000,0.5516,4126143000,0.9226,0.2290,-0.0800,0.5247,4126143000,18021919000,4472416261,14476669000,7786664261,14839680000
I,의류,Outer,DK,진자켓,765808000,0.7216,308000,,155781000,,0.3811,,,155781000,408776000,0,0,0,0
I,의류,Outer,DV,다운베스트,1922179000,0.8615,18076000,0.7938,295337000,0.9514,0.3242,-0.0221,0.4637,295337000,911095000,310428000,896402000,415677000,896402000
I,의류,Outer,FD,폴라폴리스점퍼,250339000,0.1683,3197000,0.1804,41005000,0.2072,0.1928,-0.0669,0.3528,41005000,212670000,197948075,762119000,268875075,762119000
I,의류,Outer,JP,점퍼,2067551000,0.3929,2803000,0.2390,579199000,0.5933,0.3558,0.0796,0.2833,579199000,1627662000,976218000,3534413000,1001137675,3534413000
I,의류,Outer,KC,니트가디건,719220000,0.5828,129000,0.0687,51157000,0.3323,0.1395,-0.0800,0.2376,51157000,366660000,153948000,701248000,166603000,701248000
I,의류,Outer,PD,패딩,381600000,,12084000,,115752000,,0.3017,,,115752000,383667000,0,0,0,0
I,의류,Outer,WJ,방풍자켓,2672101000,2.2362,278000,0.1945,128575000,0.6505,0.3313,0.0647,0.2760,128575000,388088000,197646000,741412000,204597000,741412000
I,의류,Wear_etc,S1,반팔티 & 스웨트팬츠,1249379000,0.6166,2325000,0.1527,386995000,0.9839,0.3778,0.0576,0.3929,386995000,1024457000,393311000,1228643000,482730000,1228643000
I,의류,Wear_etc,S2,맨투맨셋트,7788432000,0.9688,112341000,0.5860,2413334000,1.1754,0.3704,0.0323,0.4665,2413334000,6515432000,2053174906,6073220000,2926648906,6273029000
M,의류,Bottom,DP,진바지,6927490000,1.2288,7169000,0.8697,209741000,0.7287,0.3053,0.0101,0.3929,209741000,687081000,287832000,975311000,383230000,975311000
M,의류,Bottom,DS,진스커트,1436642000,0.6021,1232000,4.4317,89178000,0.7102,0.2325,-0.2892,0.5410,89178000,383531000,125567267,240663000,130204267,240663000
M,의류,Bottom,LG,레깅스,92649000,0.0996,0,0.0000,0,0.0000,,,0.2577,0,0,22509000,121600000,31338000,121600000
M,의류,Bottom,PT,팬츠,40895898000,0.9721,178264000,0.9152,2278550000,0.8958,0.3555,-0.0683,0.5986,2278550000,6409017000,2543640758,6001489000,3592357030,6001489000
M,의류,Bottom,SK,스커트,2605312000,0.7497,2510000,0.6850,152909000,0.8842,0.3616,0.0217,0.3906,152909000,422907000,172926599,508799000,198726599,508799000
M,의류,Bottom,SM,우븐반바지,1505491000,,0,,0,,,,,0,0,0,0,0,0
M,의류,Bottom,SP,반바지,1373265000,1.1542,0,,0,,,,,0,0,0,0,0,0
M,의류,Bottom,WP,우븐팬츠,37058473000,1.8295,70441000,2.6391,1476626000,1.3799,0.3832,-0.0383,0.4908,1476626000,3853004000,1070076575,2538420000,1245768575,2538420000
