브랜드코드,채널명,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익,영업비
V,백화점,2572301000,1824713690,1658830614,381557166,840070768,197256433,0,0,7745060,21632536,378227,0,41470779,0,21142833,289625868,550444900,0
V,제휴몰,835413000,538807950,489825415,86993309,402832106,0,0,0,7307668,6387549,117224,151706553,12245646,0,0,177764640,225067466,0
V,자사몰,424915000,316725040,287931854,70982718,216949136,0,0,0,4134924,3754510,7175351,0,7198294,0,0,22263079,194686057,0
V,직영몰,608463000,414412920,376739015,93651425,283087590,0,41294999,0,1746309,4912522,5027018,0,9418475,43811938,7821040,114032301,169055289,0
V,아울렛,1966539000,862785370,784350338,259287751,525062587,0,77751598,0,3642452,10228736,11108538,0,0,105968420,3362506,212062250,313000337,0
V,기타,1192775000,73594110,66903735,173883826,-106980091,0,0,0,0,872145,15166,0,1672598,0,0,2559909,-109540000,0
W,공통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477790226
W,면세점,110825000,92421240,84019309,29019351,18871580,0,0,30763875,2680746,2546055,0,0,3150721,0,3776570,42917967,-24046387,0
W,직영점(가두),198201000,134016960,121833601,54680381,67153220,0,29316435,0,3887257,3692190,2148983,0,4568759,160000000,8436453,212050077,-144896857,0
W,제휴몰,124354000,80024000,72749096,32395588,40353508,0,0,0,2386986,2204485,0,22355527,2728099,0,0,29675097,10678411,0
W,자사몰,58875000,48274094,43885544,15700300,28185244,0,0,0,1438806,1329821,1232961,0,1647500,0,0,5649088,22536156,0
W,직영몰,25543000,17497700,15907002,6946082,8960920,0,6549818,0,518619,482014,0,0,596512,25573077,6505935,40225975,-31265055,0
W,기타,260309600,441950,401773,72154271,-71752498,0,0,0,0,12115,0,0,15066,0,0,27181,-71779679,0
X,공통,0,0,0,1464851224,-1464851224,0,0,0,0,0,0,0,0,0,0,0,-1464851224,6597398017
X,백화점,25758202000,19630136540,17845578567,4857580422,7058542637,1681302262,0,0,127397947,160055624,367925,0,374757355,0,145465918,2489347031,4569195606,0
X,면세점,3839163000,3618253340,3289321224,818272690,1155319123,0,0,131480088,23416310,29488896,67623,0,69075754,0,5671945,259200616,896118507,0
X,직영점(가두),304493000,280469220,254972018,64504149,190467869,0,34311187,0,1815518,2284115,4390623,0,5354413,63672480,2577235,114405571,76062298,0
X,대리점,26587331000,22763674250,20694249130,5362500401,8353885147,0,0,0,147932238,185603909,427246,0,434579066,0,0,768542459,7585342688,0
X,제휴몰,10632622000,8820654520,8018776810,2025465247,5993311563,0,0,0,249433292,71910326,165053,1860270211,168394320,0,0,2350173202,3643138361,0
X,자사몰,3514854000,3071298030,2792089123,742700289,2049388834,0,0,0,86734849,25037368,80647958,0,58633869,0,0,251054044,1798334790,0
X,직영몰,1948432000,1823364690,1657604266,409146229,1248458037,0,150012587,0,11818477,14868356,30095385,0,34809693,151601501,31189159,424395158,824062879,0
X,아울렛,24044355000,15447513020,14043193637,4039482802,10003710835,0,1033309799,0,100008951,125943575,125137887,0,294907047,2837271033,107469018,4624047310,5379663525,0
X,사입,-367000,-172490,-156810,-75588,-81222,0,0,0,0,0,0,0,-14114,0,0,-14114,-67108,0
X,기타,1974499000,82625510,75114097,223080203,-147966106,0,0,0,0,652542,1491,0,1577410,0,0,2231443,-150197549,0
