브랜드코드,채널명,아이템_중분류,제품계층3(소분류),아이템코드,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익
M,사입,과시즌의류,폴라폴리스점퍼,FD,116966000,31059150,28235592,9175444,19060148,0,0,0,429462,736597,0,0,1976492,0,0,3142551,15917597
M,사입,과시즌의류,후드티,HD,3563000,981300,892092,396690,495402,0,0,0,14136,23268,0,0,62446,0,0,99850,395552
M,자사몰,Acc_etc,기타,ET,749000,673440,612218,98472,513746,0,0,0,30225,15931,26727,0,27856,0,0,100739,413007
M,자사몰,Acc_etc,머플러(스카프),MF,2134000,1948600,1771454,353891,1417563,0,0,0,87461,46388,77334,0,80601,0,0,291784,1125779
M,자사몰,Acc_etc,양말,SO,1975300,1575199,1432000,338527,1093473,0,0,0,71283,37481,64956,0,65710,0,0,239430,854043
M,자사몰,Acc_etc,파우치,PO,1018000,852360,774872,162423,612449,0,0,0,38255,20147,33828,0,35257,0,0,127487,484962
M,자사몰,Bag,가방,BG,199000,131360,119418,1808,117610,0,0,0,5896,3124,5213,0,5434,0,0,19667,97943
M,자사몰,Bag,백팩,BK,811000,786316,714832,133858,580974,0,0,0,36009,18532,34219,0,33210,0,0,121970,459004
M,자사몰,Bag,버킷백,BM,576000,531840,483491,85529,397962,0,0,0,23870,12651,21107,0,21999,0,0,79627,318335
M,자사몰,Bag,쇼퍼백,OR,5290000,4555380,4141254,906667,3234587,0,0,0,204461,108237,180791,0,188426,0,0,681915,2552672
M,자사몰,Bag,숄더백,BQ,21310000,19858097,18052817,3442670,14610147,0,0,0,893783,471631,798580,0,823783,0,0,2987777,11622370
M,자사몰,Bag,크로스백,CR,3452000,3295814,2996193,587646,2408547,0,0,0,149210,78280,136202,0,137554,0,0,501246,1907301
M,자사몰,Bag,힙색,HS,1218000,1114010,1012736,225041,787695,0,0,0,50002,26552,44212,0,46080,0,0,166846,620849
M,자사몰,Headwear,방한모,WM,12978000,11811310,10737554,2556586,8180968,0,0,0,530128,280511,468757,0,488558,0,0,1767954,6413014
M,자사몰,Headwear,비니,BN,36535000,31033358,28212144,5530494,22681650,0,0,0,1393297,736970,1233403,0,1284056,0,0,4647726,18033924
M,자사몰,Headwear,여성 베레모,CB,709000,683248,621135,109519,511616,0,0,0,31057,16165,28764,0,28636,0,0,104622,406994
M,자사몰,Headwear,운동모,CP,117751000,98316961,89379059,18755282,70623777,0,0,0,4414872,2335080,3910599,0,4068705,0,0,14729256,55894521
M,자사몰,Headwear,햇,HT,5586000,4966270,4514790,796589,3718201,0,0,0,223632,117927,200156,0,206115,0,0,747830,2970371
M,자사몰,Shoes,런닝화,RN,53044000,49266936,44788122,12712434,32075688,0,0,0,2213808,1169341,1966003,0,2040300,0,0,7389452,24686236
M,자사몰,Shoes,뮬,MU,650000,385950,350864,118401,232463,0,0,0,17323,9215,15317,0,15964,0,0,57819,174644
M,자사몰,Shoes,방한화,WB,66490000,61204480,55640437,14151501,41488936,0,0,0,2747047,1453154,2429036,0,2531639,0,0,9160876,32328060
M,자사몰,Shoes,스니커즈,SX,35072000,33349679,30317892,6358024,23959868,0,0,0,1503687,791479,1352326,0,1386003,0,0,5033495,18926373
M,자사몰,Shoes,슬리퍼,LP,49000,49000,44545,11616,32929,0,0,0,2199,1093,1945,0,2027,0,0,7264,25665
M,자사몰,Shoes,신발,SH,22064000,20582389,18711262,4070118,14641144,0,0,0,927185,488279,831063,0,854589,0,0,3101116,11540028
M,자사몰,과시즌의류,니트가디건,KC,199000,164310,149373,21151,128222,0,0,0,7375,3905,6521,0,6796,0,0,24597,103625
M,자사몰,과시즌의류,다운점퍼,DJ,2381000,2297100,2088273,239423,1848850,0,0,0,103101,54509,91165,0,95017,0,0,343792,1505058
M,자사몰,과시즌의류,레깅스,LG,89000,79100,71909,12055,59854,0,0,0,3550,1874,3139,0,3272,0,0,11835,48019
M,자사몰,과시즌의류,맨투맨,MT,773000,582900,529909,80680,449229,0,0,0,26163,13901,23134,0,24111,0,0,87309,361920
M,자사몰,과시즌의류,반팔카라티셔츠,TS,532000,451050,410046,72456,337590,0,0,0,20244,10776,17900,0,18657,0,0,67577,270013
M,자사몰,과시즌의류,우븐셔츠,WS,596000,252530,229573,32508,197065,0,0,0,11335,5935,10022,0,10446,0,0,37738,159327
M,자사몰,과시즌의류,우븐팬츠,WP,139000,139000,126364,18828,107536,0,0,0,6238,3280,5517,0,5750,0,0,20785,86751
M,자사몰,과시즌의류,점퍼,JP,7334000,3552650,3229682,355059,2874623,0,0,0,159453,84341,140995,0,146950,0,0,531739,2342884
M,자사몰,과시즌의류,진바지,DP,726000,708140,643763,93026,550737,0,0,0,31785,16869,28104,0,29290,0,0,106048,444689
M,자사몰,과시즌의류,진자켓,DK,0,0,0,-9261,9261,0,0,0,0,0,0,0,0,0,0,0,9261
M,자사몰,과시즌의류,트레이닝(상의),TR,3011000,1747540,1588673,184437,1404236,0,0,0,85248,41546,75392,0,72285,0,0,274471,1129765
M,자사몰,과시즌의류,팬츠,PT,4799000,4094370,3722155,529673,3192482,0,0,0,183769,97147,162494,0,169359,0,0,612769,2579713
M,자사몰,과시즌의류,폴라폴리스점퍼,FD,9572000,4471000,4064545,280692,3783853,0,0,0,200672,106051,177442,0,184938,0,0,669103,3114750
