브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고금액,재고주수,전년재고주수,재고주수차이(당년-전년)
W,Headwear,BN,비니,20,240000,96%,5%,14,186,10024956,13.3,49.4,-36.1
W,Bag,BG,가방,6,154000,72%,3%,14,1814,227976000,129.6,1033.0,-903.4
W,Shoes,WB,방한화,5,145000,75%,3%,6,169,21801000,28.2,250.0,-221.8
W,Bag,CR,크로스백,4,126000,33%,3%,2,641,49409000,320.5,186.4,134.1
W,Bag,BW,보스톤백,2,98000,,2%,6,227,42243000,37.8,,
W,Headwear,HT,햇,1,69000,,1%,6,2099,151050000,349.8,2820.0,-2470.2
W,Bag,HS,힙색,2,58000,,1%,2,289,21591000,144.5,382.0,-237.5
W,Headwear,WM,방한모,1,39000,10%,1%,0,81,8019000,,33.3,
W,Shoes,LP,슬리퍼,2,38000,14%,1%,1,589,41284145,589.0,761.0,-172.0
W,Headwear,SC,선캡,0,0,,0%,0,166,8134000,,,
W,Bag,TG,토드백,0,0,,0%,1,145,17255000,145.0,,
W,Acc_etc,SO,양말,-3,-27000,-4%,-1%,2,63,1363900,31.5,68.6,-37.1
X,Shoes,SH,신발,7533,713138757,92%,39%,9457,338318,40886294310,35.8,48.6,-12.9
X,Bag,BK,백팩,5263,689558362,126%,38%,3471,185805,30339934320,53.5,64.3,-10.7
X,Acc_etc,DC,다운 스카프,2897,118209717,109%,6%,3353,45299,2102363000,13.5,7.0,6.6
X,Bag,CR,크로스백,858,44830277,151%,2%,860,48500,3829512400,56.4,89.8,-33.4
X,Headwear,CP,운동모,1293,44599192,120%,2%,1247,90963,4198522200,72.9,68.8,4.2
X,Headwear,BN,비니,1410,44232784,149%,2%,1446,19587,980453600,13.5,20.5,-6.9
X,Bag,SG,슬링백,335,22732609,72%,1%,335,24855,2320776600,74.2,64.8,9.4
X,Bag,TG,토드백,572,21449886,99%,1%,522,26993,1612701770,51.7,80.7,-29.0
X,Acc_etc,GL,장갑,515,21407542,142%,1%,613,8763,551395000,14.3,27.4,-13.1
X,Headwear,WM,방한모,333,21245415,,1%,382,5842,404460000,15.3,,
X,Shoes,LP,슬리퍼,400,19112462,125%,1%,389,57363,2803493500,147.5,68.1,79.3
X,Acc_etc,AC,기타소품류,703,15977757,120%,1%,835,7714,314658000,9.2,26.1,-16.8
X,Bag,MR,메신저백,191,15431077,67%,1%,162,14466,1597656700,89.3,73.0,16.3
X,Acc_etc,SO,양말,860,8336360,131%,0%,1009,78363,950945600,77.7,84.0,-6.3
X,Headwear,HT,햇,179,6612498,60%,0%,193,32141,2110515700,166.5,193.9,-27.4
X,Acc_etc,MS,멀티스카프,185,4764907,90%,0%,208,4740,190803900,22.8,33.0,-10.2
X,Bag,BG,가방,46,3473680,89%,0%,59,4513,606837000,76.5,221.6,-145.1
X,Bag,HS,힙색,74,3389690,179%,0%,76,7122,545802900,93.7,243.6,-149.9
X,Acc_etc,MK,마스크(패션용),60,1916300,230%,0%,44,3100,129588000,70.5,30.3,40.2
X,Bag,BW,보스톤백,31,1472020,111%,0%,25,2819,299711000,112.8,232.7,-119.9
X,Bag,BZ,바디백,3,270000,,0%,8,1597,166933000,199.6,,
X,Acc_etc,ML,토시,7,155518,168%,0%,5,7425,194405000,1485.0,1853.3,-368.3
X,Acc_etc,PO,파우치,0,0,,0%,0,23,1239000,,,
X,Bag,EC,에코백,0,0,,0%,0,0,71100,,,
