브랜드,구분,종료일,유통채널,채널명,실판매출
M,전년,2025-12-07,01,백화점,1728579680
M,당년,2025-12-07,02,면세점,2275786700
M,전년,2025-12-07,02,면세점,2181587600
M,당년,2025-12-07,03,직영점(가두),582302531
M,전년,2025-12-07,03,직영점(가두),312638900
M,당년,2025-12-07,04,자사몰,241052850
M,전년,2025-12-07,04,자사몰,151080468
M,당년,2025-12-07,05,제휴몰,741938300
M,전년,2025-12-07,05,제휴몰,676692730
M,당년,2025-12-07,06,대리점,1197921478
M,전년,2025-12-07,06,대리점,1026597931
M,당년,2025-12-07,08,사입,749677800
M,전년,2025-12-07,08,사입,1080065720
M,당년,2025-12-07,11,직영몰,173261300
M,전년,2025-12-07,11,직영몰,138492300
M,당년,2025-12-07,RF,RF,537018052
M,전년,2025-12-07,RF,RF,450001440
ST,당년,2025-12-07,01,백화점,1197170
ST,전년,2025-12-07,01,백화점,19634310
ST,당년,2025-12-07,02,면세점,5342800
ST,전년,2025-12-07,02,면세점,39462000
ST,당년,2025-12-07,03,직영점(가두),17302500
ST,당년,2025-12-07,04,자사몰,12634560
ST,전년,2025-12-07,04,자사몰,26735900
ST,당년,2025-12-07,05,제휴몰,31280500
ST,전년,2025-12-07,05,제휴몰,38118460
ST,당년,2025-12-07,07,아울렛,22896439
ST,전년,2025-12-07,07,아울렛,10643950
ST,당년,2025-12-07,11,직영몰,22180646
ST,전년,2025-12-07,11,직영몰,16437747
V,당년,2025-12-07,01,백화점,1038284500
V,전년,2025-12-07,01,백화점,488898700
V,당년,2025-12-07,03,직영점(가두),21229000
V,당년,2025-12-07,04,자사몰,150025390
V,전년,2025-12-07,04,자사몰,66724130
V,당년,2025-12-07,05,제휴몰,148024200
V,전년,2025-12-07,05,제휴몰,227667250
V,당년,2025-12-07,07,아울렛,281508130
V,전년,2025-12-07,07,아울렛,234111500
V,당년,2025-12-07,11,직영몰,134338000
V,전년,2025-12-07,11,직영몰,69548600
W,전년,2025-12-07,02,면세점,7691300
W,전년,2025-12-07,03,직영점(가두),24201570
W,당년,2025-12-07,04,자사몰,15185900
W,전년,2025-12-07,04,자사몰,14976172
W,당년,2025-12-07,05,제휴몰,16765000
W,전년,2025-12-07,05,제휴몰,23774900
W,전년,2025-12-07,11,직영몰,5180500
X,당년,2025-12-07,01,백화점,5362017600
X,전년,2025-12-07,01,백화점,4790513200
X,당년,2025-12-07,02,면세점,695762600
X,전년,2025-12-07,02,면세점,699342100
X,당년,2025-12-07,03,직영점(가두),158615900
X,전년,2025-12-07,03,직영점(가두),59890200
X,당년,2025-12-07,04,자사몰,933672859
X,전년,2025-12-07,04,자사몰,696675210
X,당년,2025-12-07,05,제휴몰,2361913600
X,전년,2025-12-07,05,제휴몰,2589406740
X,당년,2025-12-07,06,대리점,5564209380
X,전년,2025-12-07,06,대리점,5679524820
X,당년,2025-12-07,07,아울렛,3775307800
X,전년,2025-12-07,07,아울렛,3794261700
X,당년,2025-12-07,11,직영몰,451939200
X,전년,2025-12-07,11,직영몰,419844800
X,당년,2025-12-07,12,아울렛,103096100
X,전년,2025-12-07,12,아울렛,92335600
I,당년,2025-12-14,01,백화점,560802540
I,전년,2025-12-14,01,백화점,678621780
I,당년,2025-12-14,02,면세점,239820000
I,전년,2025-12-14,02,면세점,383341300
I,당년,2025-12-14,03,직영점(가두),36454900
I,전년,2025-12-14,03,직영점(가두),39879928
I,당년,2025-12-14,04,자사몰,58135607
I,전년,2025-12-14,04,자사몰,59491298
I,당년,2025-12-14,05,제휴몰,161873100
I,전년,2025-12-14,05,제휴몰,113573475
I,당년,2025-12-14,06,대리점,208377873
I,전년,2025-12-14,06,대리점,205722206
I,당년,2025-12-14,08,사입,207350220
I,전년,2025-12-14,08,사입,99567500
I,당년,2025-12-14,11,직영몰,67490530
I,전년,2025-12-14,11,직영몰,59998520
M,당년,2025-12-14,01,백화점,1582694700
M,전년,2025-12-14,01,백화점,1517469770
M,당년,2025-12-14,02,면세점,2832326200
M,전년,2025-12-14,02,면세점,3187290900
M,당년,2025-12-14,03,직영점(가두),573924600
M,전년,2025-12-14,03,직영점(가두),281924672
M,당년,2025-12-14,04,자사몰,272478798
M,전년,2025-12-14,04,자사몰,168225108
