브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고주수,전년재고주수,재고주수차이(당년-전년)
M,Acc_etc,SO,양말,854,12609482,119%,0%,904,62760,69.4,144.8,-75.4
M,Acc_etc,ET,기타,471,11009717,224%,0%,431,8428,19.6,64.1,-44.5
M,Bag,HS,힙색,93,8448904,26%,0%,162,13261,81.9,50.0,31.9
M,Acc_etc,PO,파우치,214,6533726,97%,0%,143,17714,123.9,34.3,89.6
M,Bag,BK,백팩,48,6425184,71%,0%,49,15957,325.7,222.3,103.3
M,Shoes,MU,뮬,34,1596928,11%,0%,29,47569,1640.3,351.4,1288.9
M,Shoes,LP,슬리퍼,28,1581942,258%,0%,33,46776,1417.5,2481.6,-1064.2
M,Acc_etc,HH,캐리어(하드케이스),4,908657,192%,0%,2,861,430.5,178.0,252.5
M,Bag,BG,가방,5,655900,24%,0%,9,13737,1526.3,1050.0,476.3
M,Acc_etc,GL,장갑,16,587145,,0%,30,1779,59.3,,
M,Headwear,MC,메시캡,6,308000,,0%,4,6219,1554.8,,
M,Shoes,SD,샌들,2,127000,-446%,0%,8,54112,6764.0,56851.0,-50087.0
M,Acc_etc,MK,마스크(패션용),0,0,,0%,0,8,,,
M,Acc_etc,ML,토시,0,0,,0%,-3,896,,,
M,Headwear,CB,여성 베레모,0,0,0%,0%,0,32,,30.5,
M,Acc_etc,TW,타올,0,0,,0%,0,1,,,
M,Shoes,SQ,아쿠아 슈즈,0,0,,0%,0,9226,,,
M,Headwear,SC,선캡,0,0,,0%,1,2301,2301.0,,
M,Shoes,CV,캔버스화,0,0,,0%,0,12,,,
M,Bag,BW,보스톤백,-1,-79500,,0%,1,735,735.0,,
ST,Shoes,SH,신발,124,9602440,194%,51%,321,9037,28.2,262.9,-234.7
ST,Headwear,CP,운동모,46,2192320,71%,12%,53,4109,77.5,52.2,25.3
ST,Acc_etc,SO,양말,87,1503220,43%,8%,80,11276,141.0,51.7,89.3
ST,Headwear,SC,선캡,25,1412110,53%,7%,24,2820,117.5,91.5,26.0
ST,Bag,TG,토드백,14,1226900,143%,6%,11,1527,138.8,144.3,-5.5
ST,Bag,BK,백팩,8,838300,177%,4%,8,1544,193.0,142.6,50.4
ST,Bag,BW,보스톤백,5,768800,63%,4%,6,607,101.2,107.7,-6.5
ST,Bag,CR,크로스백,5,404900,240%,2%,3,518,172.7,185.0,-12.3
ST,Bag,RB,라켓백,3,366200,55%,2%,6,978,163.0,104.9,58.1
ST,Headwear,BN,비니,5,283200,63%,1%,5,664,132.8,51.7,81.1
ST,Acc_etc,PR,보호대,7,112200,44%,1%,7,2332,333.1,223.4,109.7
ST,Acc_etc,AM,머플러,1,99000,19%,1%,2,403,201.5,88.0,113.5
ST,Shoes,LP,슬리퍼,1,99000,,1%,1,588,588.0,,
ST,Acc_etc,RK,라켓,1,62100,52%,0%,1,511,511.0,23.0,488.0
ST,Acc_etc,HB,헤드밴드,2,26900,13%,0%,5,846,169.2,165.0,4.2
ST,Acc_etc,TW,타올,0,0,,0%,0,3008,,,
ST,Bag,SG,슬링백,0,0,,0%,0,131,,177.0,
ST,Acc_etc,LL,볼,0,0,,0%,0,34,,,
ST,Acc_etc,AC,기타소품류,0,0,0%,0%,1,1303,1303.0,90.0,1213.0
ST,Headwear,HT,햇,0,0,,0%,3,842,280.7,1150.0,-869.3
V,Shoes,WB,방한화,442,93667490,197%,71%,294,4361,14.8,9.3,5.5
V,Bag,TG,토드백,20,6419600,181%,5%,28,3013,107.6,62.4,45.2
V,Bag,BK,백팩,15,4821400,60%,4%,15,435,29.0,19.0,10.0
V,Headwear,HT,햇,34,4467620,225%,3%,31,1405,45.3,104.1,-58.8
V,Shoes,SH,신발,28,4122910,117%,3%,20,1019,51.0,397.5,-346.6
V,Headwear,BN,비니,25,3827940,255%,3%,24,950,39.6,39.6,0.0
V,Headwear,CP,운동모,31,3365790,347%,3%,19,649,34.2,83.1,-49.0
V,Acc_etc,AG,장갑,22,2439490,406%,2%,19,371,19.5,39.9,-20.3
V,Acc_etc,MF,머플러(스카프),8,2125150,,2%,7,730,104.3,,
V,Bag,BG,가방,7,2086380,,2%,4,462,115.5,,
V,Acc_etc,ML,토시,13,1370380,240%,1%,14,214,15.3,27.3,-12.0
V,Bag,CR,크로스백,6,1210000,34%,1%,13,1168,89.8,91.5,-1.6
V,Acc_etc,DC,다운 스카프,4,838000,,1%,9,388,43.1,37.3,5.8
V,Headwear,WM,방한모,2,285000,71%,0%,4,193,48.3,52.3,-4.1
V,Bag,TA,벨트백,2,208800,144%,0%,1,31,31.0,117.0,-86.0
V,Acc_etc,SO,양말,14,178440,73%,0%,24,1076,44.8,152.9,-108.1
V,Bag,HS,힙색,2,166000,,0%,3,110,36.7,,
V,Shoes,MU,뮬,1,107400,67%,0%,1,115,115.0,424.0,-309.0
V,Acc_etc,PO,파우치,0,0,,0%,0,10,,,
V,Acc_etc,GL,장갑,0,0,,0%,0,21,,,
V,Bag,EB,기타가방,0,0,,0%,0,16,,,
V,Shoes,LP,슬리퍼,0,0,,0%,0,405,,,
V,Headwear,SC,선캡,0,0,0%,0%,1,199,199.0,190.0,9.0
W,Shoes,SH,신발,58,2920540,37%,50%,73,2805,38.4,162.2,-123.7
W,Headwear,CP,운동모,77,1207690,68%,21%,80,4280,53.5,300.7,-247.2
W,Bag,BK,백팩,7,442321,69%,8%,7,1380,197.1,253.4,-56.2
W,Bag,BG,가방,18,412000,55%,7%,22,1853,84.2,518.3,-434.0
W,Bag,BW,보스톤백,7,328100,,6%,6,246,41.0,,
W,Headwear,BN,비니,11,118100,11%,2%,13,230,17.7,54.4,-36.7
W,Shoes,WB,방한화,4,116000,,2%,7,193,27.6,,
W,Headwear,HT,햇,7,113000,,2%,9,2116,235.1,1418.0,-1182.9
W,Bag,HS,힙색,2,58000,27%,1%,2,294,147.0,383.0,-236.0
W,Acc_etc,SO,양말,4,34210,4%,1%,3,68,22.7,83.7,-61.0
W,Bag,TG,토드백,1,29000,,1%,1,147,147.0,,
W,Headwear,SC,선캡,1,19000,,0%,1,166,166.0,,
W,Bag,CR,크로스백,0,10000,2%,0%,2,649,324.5,315.0,9.5
W,Headwear,WM,방한모,0,0,0%,0%,0,82,,111.0,
W,Shoes,LP,슬리퍼,0,-10000,,0%,1,596,596.0,1592.0,-996.0
X,Shoes,SH,신발,11737,1158607877,110%,58%,10780,343369,31.9,37.5,-5.7
X,Bag,BK,백팩,2733,354919804,146%,18%,2133,171332,80.3,121.5,-41.2
X,Acc_etc,DC,다운 스카프,3867,154789775,86%,8%,3337,54881,16.4,9.0,7.5
X,Headwear,BN,비니,1556,49478141,117%,2%,1515,23831,15.7,21.3,-5.6
X,Bag,CR,크로스백,862,47284432,135%,2%,850,51281,60.3,66.3,-5.9
X,Headwear,CP,운동모,1229,44915357,90%,2%,1377,87651,63.7,55.2,8.5
X,Acc_etc,GL,장갑,734,30797289,126%,2%,1059,10513,9.9,26.4,-16.5
X,Acc_etc,AC,기타소품류,1132,26537054,100%,1%,1069,9970,9.3,26.6,-17.3
X,Bag,SG,슬링백,357,24693830,90%,1%,370,26020,70.3,54.8,15.5
X,Headwear,WM,방한모,325,21251664,,1%,315,7045,22.4,,
X,Shoes,LP,슬리퍼,434,21131290,123%,1%,486,47125,97.0,48.8,48.2
X,Bag,TG,토드백,507,20486054,130%,1%,500,27230,54.5,143.9,-89.5
X,Bag,MR,메신저백,139,11640594,76%,1%,126,15051,119.5,121.0,-1.6
X,Headwear,HT,햇,290,10844067,76%,1%,239,32637,136.6,144.0,-7.4
X,Acc_etc,SO,양말,1018,9865457,117%,0%,1253,61631,49.2,51.0,-1.8
X,Bag,BG,가방,110,7632525,284%,0%,73,4642,63.6,286.3,-222.7
X,Acc_etc,MS,멀티스카프,201,6115245,103%,0%,247,5373,21.8,40.8,-19.0
X,Bag,HS,힙색,106,5680497,182%,0%,146,7322,50.2,173.0,-122.8
X,Acc_etc,MK,마스크(패션용),42,1625083,168%,0%,61,3235,53.0,49.6,3.5
X,Bag,BW,보스톤백,28,1269920,57%,0%,29,2895,99.8,156.7,-56.9
X,Bag,BZ,바디백,7,701000,,0%,6,560,93.3,,
X,Acc_etc,PO,파우치,0,0,,0%,0,23,,,
X,Acc_etc,ML,토시,3,-31425,-21%,0%,11,7460,678.2,696.1,-17.9
