브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고주수,전년재고주수,재고주수차이(당년-전년)
V,Shoes,LP,슬리퍼,0,0,,0%,0,405,,,
V,Headwear,SC,선캡,0,0,,0%,0,193,,568.0,
V,Acc_etc,PO,파우치,0,0,,0%,0,10,,,
V,Acc_etc,GL,장갑,0,0,,0%,0,21,,55.0,
W,Shoes,SH,신발,37,1758660,21%,47%,63,2683,42.6,180.1,-137.5
W,Headwear,CP,운동모,71,1023500,70%,27%,74,4101,55.4,380.2,-324.8
W,Bag,BG,가방,13,264900,247%,7%,15,1820,121.3,826.8,-705.5
W,Bag,BK,백팩,3,157000,65%,4%,6,1371,228.5,404.6,-176.1
W,Headwear,HT,햇,12,145180,201%,4%,6,2100,350.0,2820.0,-2470.0
W,Bag,CR,크로스백,2,108000,64%,3%,2,645,322.5,234.8,87.8
W,Bag,BW,보스톤백,2,97430,52%,3%,6,229,38.2,612.0,-573.8
W,Headwear,BN,비니,7,83000,14%,2%,12,206,17.2,46.6,-29.5
W,Shoes,WB,방한화,2,58000,90%,2%,7,174,24.9,503.0,-478.1
W,Shoes,LP,슬리퍼,1,29000,16%,1%,1,591,591.0,1526.0,-935.0
W,Bag,TG,토드백,1,29000,,1%,1,145,145.0,,
W,Acc_etc,SO,양말,1,9000,4%,0%,3,60,20.0,88.8,-68.8
W,Headwear,SC,선캡,0,0,,0%,1,166,166.0,,
W,Headwear,WM,방한모,0,0,0%,0%,0,82,,53.0,
W,Bag,HS,힙색,0,0,,0%,1,291,291.0,382.0,-91.0
X,Shoes,SH,신발,8287,806018819,79%,47%,10799,329111,30.5,41.9,-11.4
X,Bag,BK,백팩,3433,452643058,102%,26%,2689,179047,66.6,81.6,-15.0
X,Acc_etc,DC,다운 스카프,3536,143835000,80%,8%,3548,48215,13.6,6.4,7.2
X,Headwear,BN,비니,1494,49133498,111%,3%,1547,20998,13.6,19.4,-5.9
X,Headwear,CP,운동모,1301,46068908,88%,3%,1312,88537,67.5,64.6,2.9
X,Bag,CR,크로스백,805,43309010,123%,3%,870,49384,56.8,77.3,-20.6
X,Headwear,WM,방한모,621,36588080,,2%,416,6175,14.8,,
X,Acc_etc,GL,장갑,659,29822137,134%,2%,759,9306,12.3,24.8,-12.5
X,Bag,TG,토드백,560,21258563,111%,1%,504,27567,54.7,96.6,-41.9
X,Bag,SG,슬링백,297,20862539,77%,1%,347,25192,72.6,56.8,15.8
X,Acc_etc,AC,기타소품류,750,17254899,61%,1%,1023,8451,8.3,23.7,-15.4
X,Shoes,LP,슬리퍼,360,17038962,112%,1%,398,46323,116.4,57.1,59.3
X,Bag,MR,메신저백,184,14850372,41%,1%,152,14711,96.8,78.8,18.0
X,Acc_etc,SO,양말,1105,11075105,120%,1%,1080,59420,55.0,80.6,-25.6
X,Headwear,HT,햇,156,5775000,35%,0%,203,32320,159.2,186.8,-27.6
X,Acc_etc,MS,멀티스카프,199,5635863,65%,0%,272,4925,18.1,32.9,-14.8
X,Bag,HS,힙색,62,2786673,110%,0%,81,7196,88.8,226.1,-137.3
X,Bag,BG,가방,43,2775553,73%,0%,73,4559,62.5,300.4,-238.0
X,Acc_etc,MK,마스크(패션용),41,1331987,60%,0%,50,3160,63.2,30.0,33.2
X,Bag,BW,보스톤백,19,850100,54%,0%,22,2853,129.7,179.7,-50.0
X,Bag,BZ,바디백,2,179603,,0%,10,538,53.8,,
X,Acc_etc,ML,토시,5,93070,95%,0%,6,7432,1238.7,1191.9,46.8
X,Acc_etc,PO,파우치,0,0,,0%,0,23,,,
