브랜드코드,채널명,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익,영업비
ST,제휴몰,106457300,75590500,68718640,24441031,44277609,0,0,0,3712501,3270976,0,22042356,2473884,0,0,31499717,12777892,0
ST,자사몰,132758000,129415400,117650360,30054521,87595839,0,0,0,6481591,5600521,3665509,0,4235412,0,0,19983033,67612806,0
ST,직영몰,103579700,73574600,66886002,25413029,41472973,0,25267041,0,5017697,3183735,460511,0,2407896,50966938,13270833,100574651,-59101678,0
ST,아울렛,91294800,47484010,43167280,21100784,22066496,0,10832543,0,3196193,2054789,0,0,1554017,10028849,2197917,29864308,-7797812,0
ST,기타,8043000,1302120,1183739,1772529,-588790,0,0,0,0,56338,0,0,42610,0,0,98948,-687738,0
V,공통,0,0,0,193067941,-193067941,0,0,0,0,0,0,0,0,0,0,0,-193067941,499530485
V,백화점,1246842000,813068530,739153198,196266270,354102130,133076825,0,0,5084319,16707062,403367,0,18478840,0,19788459,193538872,160563258,0
V,제휴몰,957352000,479196530,435633213,104084534,331548679,0,0,0,8160390,9848284,241818,133707983,10890825,0,0,162849300,168699379,0
V,자사몰,114511000,81116500,73742270,17124295,56617975,0,0,0,1423135,1666820,1918987,0,1843553,0,0,6852495,49765480,0
V,직영몰,397059000,250417650,227652413,40332699,187319714,0,31041953,0,1548330,5145428,3042820,0,3969634,50558779,7812607,103119551,84200163,0
V,아울렛,1595937000,701789460,637990419,224949321,413041098,0,68179730,0,4310582,14421573,10507180,0,0,88092610,3370939,188882614,224158484,0
V,기타,0,0,0,-431612,431612,0,0,0,0,0,0,0,0,0,0,0,431612,0
W,공통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501020516
W,백화점,10105000,3031530,2755936,3487364,-1365290,16153,0,0,224256,180684,0,0,103347,0,2023,526463,-1891753,0
W,면세점,46763000,36411400,33101269,12385250,6482460,193996,0,20337990,2693558,2170557,0,0,1241292,0,3770126,30407519,-23925059,0
W,직영점(가두),84680000,63951280,58137529,23340483,34797046,341033,20057475,0,4735209,3812403,1649312,0,2180162,160000000,8434568,201210162,-166413116,0
W,제휴몰,52824000,34377600,31252362,14415448,16836914,0,0,0,1585198,2049368,0,10579233,1171961,0,0,15385760,1451154,0
W,자사몰,19309000,16004518,14549560,5199923,9349637,0,0,0,744644,954047,403843,0,547753,0,0,2650287,6699350,0
W,직영몰,29410000,17938950,16308141,8144691,8163450,0,6633516,0,1355258,1069351,0,0,611558,25530629,6512241,41712553,-33549103,0
W,기타,720000,504000,458181,196997,261184,0,0,0,0,29976,0,0,17183,0,0,47159,214025,0
X,공통,0,0,0,1158564604,-1158564604,0,0,0,0,0,0,0,0,0,0,0,-1158564604,4806703509
X,백화점,15604599000,11323153740,10293776075,2751951748,4156809981,1177376469,0,0,121724619,176597473,0,0,216169329,0,137585583,1829453473,2327356508,0
X,면세점,2026200000,1845659030,1677871847,439475730,567246909,0,0,112135996,19764817,28786087,0,0,35235309,0,5239563,201161772,366085137,0
X,직영점(가두),103555000,97557030,88688210,22122635,66565575,0,18183351,0,1057450,1521297,1766554,0,1862452,63672480,2568590,90632174,-24066599,0
X,대리점,12635748000,11039718580,10036107753,2543920769,4065247118,0,0,0,119630237,172215281,0,0,210758263,0,0,502603781,3562643337,0
X,제휴몰,5673397000,4611057920,4191870796,1123118749,3068752047,0,0,0,145803007,71925930,0,971218609,88029274,0,0,1276976820,1791775227,0
X,자사몰,1744829000,1452417600,1320379629,372734442,947645187,0,0,0,45872026,22653107,42312350,0,27727979,0,0,138565462,809079725,0
X,직영몰,1067908000,1012979790,920890733,228815393,692075340,0,106787354,0,10880056,15792502,16009024,0,19338724,219739498,31191974,419739132,272336208,0
X,아울렛,12500311000,8005161240,7277419257,2116869772,5160549485,0,720830198,0,85791494,124859244,54378453,0,152825759,1594896945,89736819,2823318912,2337230573,0
X,사입,174263000,81903150,74457409,39636098,34821311,0,0,0,878781,1280963,0,0,6701166,0,0,8860910,25960401,0
X,기타,82900000,27246350,24769399,-30079281,54848680,0,0,0,0,437258,0,0,520157,0,0,957415,53891265,0
