브랜드,구분,아이템명,채널명,TAG매출,실판매출,비중,할인율,YOY
M,아이템-채널,차시즌의류,직영점(가두),45548000,45322860,13,0.5,7.7
ST,아이템,Acc_etc,전체,2027000,1779020,1,12.2,-33.4
ST,아이템-채널,Acc_etc,기타,0,0,0,0.0,0.0
ST,아이템-채널,Acc_etc,면세점,552500,427830,24,22.6,125.2
ST,아이템-채널,Acc_etc,백화점,49000,49000,3,0.0,-91.3
ST,아이템-채널,Acc_etc,아울렛,54800,35800,2,34.7,-78.8
ST,아이템-채널,Acc_etc,자사몰,500000,444090,25,11.2,-43.2
ST,아이템-채널,Acc_etc,제휴몰,322800,311200,17,3.6,-3.6
ST,아이템-채널,Acc_etc,직영몰,383900,348600,20,9.2,-45.8
ST,아이템-채널,Acc_etc,직영점(가두),164000,162500,9,0.9,100.0
ST,아이템,Bag,전체,4643000,3613500,2,22.2,-65.2
ST,아이템-채널,Bag,면세점,597000,537300,15,10.0,-56.1
ST,아이템-채널,Bag,아울렛,308000,217500,6,29.4,-22.5
ST,아이템-채널,Bag,자사몰,656000,609100,17,7.1,-79.1
ST,아이템-채널,Bag,제휴몰,1750000,1354400,37,22.6,-11.0
ST,아이템-채널,Bag,직영몰,1104000,683100,19,38.1,-41.4
ST,아이템-채널,Bag,직영점(가두),228000,212100,6,7.0,100.0
ST,아이템,Headwear,전체,4154000,3735520,2,10.1,-17.0
ST,아이템-채널,Headwear,면세점,434000,390600,10,10.0,-40.8
ST,아이템-채널,Headwear,백화점,108000,108000,3,0.0,-90.2
ST,아이템-채널,Headwear,아울렛,374000,273000,7,27.0,283.4
ST,아이템-채널,Headwear,자사몰,760000,661320,18,13.0,-33.5
ST,아이템-채널,Headwear,제휴몰,335000,299400,8,10.6,-53.1
ST,아이템-채널,Headwear,직영몰,1270000,1171500,31,7.8,12.8
ST,아이템-채널,Headwear,직영점(가두),873000,831700,22,4.7,100.0
ST,아이템,Shoes,전체,19523000,7521780,5,61.5,-37.5
ST,아이템-채널,Shoes,기타,0,0,0,0.0,0.0
ST,아이템-채널,Shoes,면세점,518000,155400,2,70.0,-95.6
ST,아이템-채널,Shoes,자사몰,2447000,1371080,18,44.0,-52.5
ST,아이템-채널,Shoes,제휴몰,14639000,4769800,63,67.4,222.9
ST,아이템-채널,Shoes,직영몰,1720000,1106100,15,35.7,-50.4
ST,아이템-채널,Shoes,직영점(가두),199000,119400,2,40.0,100.0
ST,아이템,과시즌의류,전체,148304000,84396580,56,43.1,121.4
ST,아이템-채널,과시즌의류,기타,0,0,0,0.0,0.0
ST,아이템-채널,과시즌의류,면세점,6261000,4614290,5,26.3,-50.5
ST,아이템-채널,과시즌의류,백화점,2191000,1469400,2,32.9,-62.8
ST,아이템-채널,과시즌의류,아울렛,52236000,28816350,34,44.8,112.8
ST,아이템-채널,과시즌의류,자사몰,11182000,8401040,10,24.9,3718.7
ST,아이템-채널,과시즌의류,제휴몰,47264000,22052800,26,53.3,112.8
ST,아이템-채널,과시즌의류,직영몰,17169000,10983000,13,36.0,1448.6
ST,아이템-채널,과시즌의류,직영점(가두),12001000,8059700,10,32.8,100.0
ST,아이템,당시즌의류,전체,51065000,46822770,31,8.3,-7.1
ST,아이템-채널,당시즌의류,면세점,11177000,10124790,22,9.4,-6.5
ST,아이템-채널,당시즌의류,백화점,1744000,1569600,3,10.0,-87.0
ST,아이템-채널,당시즌의류,아울렛,119000,107100,0,10.0,-93.1
ST,아이템-채널,당시즌의류,자사몰,11402000,10238480,22,10.2,93.8
ST,아이템-채널,당시즌의류,제휴몰,3246000,3246000,7,0.0,-57.5
ST,아이템-채널,당시즌의류,직영몰,9505000,8582500,18,9.7,-33.5
ST,아이템-채널,당시즌의류,직영점(가두),13872000,12954300,28,6.6,100.0
ST,아이템,차시즌의류,전체,2635000,2432640,2,7.7,411.1
ST,아이템-채널,차시즌의류,면세점,248000,237100,10,4.4,100.0
ST,아이템-채널,차시즌의류,백화점,149000,134100,6,10.0,-60.2
ST,아이템-채널,차시즌의류,자사몰,1292000,1144240,47,11.4,723.2
ST,아이템-채널,차시즌의류,직영몰,109000,98100,4,10.0,100.0
ST,아이템-채널,차시즌의류,직영점(가두),837000,819100,34,2.1,100.0
V,아이템,Acc_etc,전체,11014000,9726710,1,11.7,547.9
V,아이템-채널,Acc_etc,기타,0,0,0,0.0,0.0
V,아이템-채널,Acc_etc,백화점,4640000,4076310,42,12.1,644.5
V,아이템-채널,Acc_etc,아울렛,619000,478980,5,22.6,64.0
V,아이템-채널,Acc_etc,자사몰,2785000,2357920,24,15.3,2055.3
V,아이템-채널,Acc_etc,제휴몰,2340000,2231500,23,4.6,383.6
V,아이템-채널,Acc_etc,직영몰,480000,432000,4,10.0,374.7
V,아이템-채널,Acc_etc,직영점(가두),150000,150000,2,0.0,100.0
V,아이템,Bag,전체,26020000,22282220,1,14.4,133.5
V,아이템-채널,Bag,기타,0,0,0,0.0,0.0
V,아이템-채널,Bag,백화점,12980000,11560350,52,10.9,175.2
V,아이템-채널,Bag,아울렛,2310000,1629900,7,29.4,-21.8
V,아이템-채널,Bag,자사몰,2690000,2262970,10,15.9,65.8
V,아이템-채널,Bag,제휴몰,5510000,4482000,20,18.7,245.6
V,아이템-채널,Bag,직영몰,1830000,1647000,7,10.0,175.0
V,아이템-채널,Bag,직영점(가두),700000,700000,3,0.0,100.0
V,아이템,Headwear,전체,13480000,9943490,1,26.2,37.5
V,아이템-채널,Headwear,백화점,3940000,3514000,35,10.8,-5.8
V,아이템-채널,Headwear,아울렛,2878000,1898080,19,34.0,56.4
V,아이템-채널,Headwear,자사몰,1626000,1080810,11,33.5,57.8
V,아이템-채널,Headwear,제휴몰,4226000,2721600,27,35.6,101.0
V,아이템-채널,Headwear,직영몰,810000,729000,7,10.0,193.4
V,아이템-채널,Headwear,직영점(가두),0,0,0,0.0,0.0
V,아이템,Shoes,전체,72970000,61099470,4,16.3,99.5
V,아이템-채널,Shoes,백화점,12598000,11282010,18,10.4,-6.1
V,아이템-채널,Shoes,아울렛,12770000,5661870,9,55.7,-3.8
V,아이템-채널,Shoes,자사몰,11478000,10032990,16,12.6,63.3
V,아이템-채널,Shoes,제휴몰,32780000,31018800,51,5.4,689.0
V,아이템-채널,Shoes,직영몰,2402000,2161800,4,10.0,-18.6
V,아이템-채널,Shoes,직영점(가두),942000,942000,2,0.0,100.0
V,아이템,과시즌의류,전체,795670000,386632170,23,51.4,26.6
V,아이템-채널,과시즌의류,백화점,93550000,48281490,12,48.4,13.5
V,아이템-채널,과시즌의류,아울렛,554060000,262666490,68,52.6,35.4
V,아이템-채널,과시즌의류,자사몰,16360000,8611190,2,47.4,-52.1
V,아이템-채널,과시즌의류,제휴몰,128350000,64362000,17,49.9,141.3
V,아이템-채널,과시즌의류,직영몰,3350000,2711000,1,19.1,-88.8
V,아이템,당시즌의류,전체,1266960000,1150325420,68,9.2,109.5
V,아이템-채널,당시즌의류,백화점,880110000,790032890,69,10.2,133.0
V,아이템-채널,당시즌의류,아울렛,100440000,90131700,8,10.3,10.8
V,아이템-채널,당시즌의류,자사몰,81960000,76486330,7,6.7,190.7
V,아이템-채널,당시즌의류,제휴몰,77550000,77550000,7,0.0,169.9
V,아이템-채널,당시즌의류,직영몰,101120000,90463500,8,10.5,22.8
V,아이템-채널,당시즌의류,직영점(가두),25780000,25661000,2,0.5,100.0
V,아이템,차시즌의류,전체,52740000,47796460,3,9.4,35.1
V,아이템-채널,차시즌의류,백화점,31520000,28486000,60,9.6,3.2
V,아이템-채널,차시즌의류,자사몰,7630000,6970460,15,8.6,770.2
V,아이템-채널,차시즌의류,제휴몰,1090000,1090000,2,0.0,105.7
V,아이템-채널,차시즌의류,직영몰,12500000,11250000,24,10.0,74.8
V,아이템-채널,차시즌의류,직영점(가두),0,0,0,0.0,0.0
W,아이템,Acc_etc,전체,51000,27000,0,47.1,-80.5
W,아이템-채널,Acc_etc,자사몰,17000,9000,33,47.1,100.0
W,아이템-채널,Acc_etc,제휴몰,34000,18000,67,47.1,100.0
W,아이템,Bag,전체,4075000,1065000,3,73.9,-26.9
W,아이템-채널,Bag,자사몰,1943000,443000,42,77.2,100.0
W,아이템-채널,Bag,제휴몰,2132000,622000,58,70.8,375.5
W,아이템,Headwear,전체,7937000,2220920,7,72.0,-17.1
W,아이템-채널,Headwear,자사몰,5791000,1626920,73,71.9,4071.6
W,아이템-채널,Headwear,제휴몰,2146000,594000,27,72.3,33.8
W,아이템,Shoes,전체,13183000,3534790,11,73.2,-71.6
W,아이템-채널,Shoes,자사몰,6898000,1859790,53,73.0,129.6
W,아이템-채널,Shoes,제휴몰,6285000,1675000,47,73.3,-37.7
W,아이템,과시즌의류,전체,92512000,24810510,78,73.2,120.2
W,아이템-채널,과시즌의류,자사몰,55957000,14181510,57,74.7,523.3
W,아이템-채널,과시즌의류,제휴몰,36555000,10629000,43,70.9,277.1
W,아이템,당시즌의류,전체,98000,38000,0,61.2,-99.9
W,아이템-채널,당시즌의류,제휴몰,98000,38000,100,61.2,-98.2
X,아이템,Acc_etc,전체,321509900,245103198,1,23.8,33.7
X,아이템-채널,Acc_etc,대리점,64342300,51698210,21,19.7,-10.3
X,아이템-채널,Acc_etc,면세점,6114000,2949390,1,51.8,2297.9
X,아이템-채널,Acc_etc,백화점,70095600,45996520,19,34.4,29.9
X,아이템-채널,Acc_etc,아울렛,16545000,7888480,3,52.3,118.4
X,아이템-채널,Acc_etc,자사몰,9302000,5740218,2,38.3,-13.9
X,아이템-채널,Acc_etc,제휴몰,147764000,123732700,50,16.3,60.5
X,아이템-채널,Acc_etc,직영몰,3254000,3066240,1,5.8,42.5
X,아이템-채널,Acc_etc,직영점(가두),4093000,4031440,2,1.5,1393.1
X,아이템,Bag,전체,1857291000,1440112409,8,22.5,7.7
X,아이템-채널,Bag,기타,218000,152600,0,30.0,-68.6
X,아이템-채널,Bag,대리점,261070000,224765390,16,13.9,-12.5
X,아이템-채널,Bag,면세점,12530000,8167190,1,34.8,-92.7
X,아이템-채널,Bag,백화점,907042000,675380700,47,25.5,29.4
X,아이템-채널,Bag,아울렛,259860000,211690440,15,18.5,8.6
X,아이템-채널,Bag,자사몰,101491000,85137479,6,16.1,22.0
X,아이템-채널,Bag,제휴몰,268227000,190306430,13,29.1,39.0
X,아이템-채널,Bag,직영몰,40095000,38181580,3,4.8,-12.1
X,아이템-채널,Bag,직영점(가두),6758000,6330600,0,6.3,686.4
X,아이템,Headwear,전체,254783000,171772480,1,32.6,51.7
X,아이템-채널,Headwear,기타,39000,27300,0,30.0,-76.6
X,아이템-채널,Headwear,대리점,85791000,71577320,42,16.6,40.5
X,아이템-채널,Headwear,면세점,2921000,2601900,2,10.9,-25.1
X,아이템-채널,Headwear,백화점,65410000,42806150,25,34.6,56.0
X,아이템-채널,Headwear,아울렛,36750000,16459290,10,55.2,3.4
X,아이템-채널,Headwear,자사몰,7101000,5646130,3,20.5,15.6
X,아이템-채널,Headwear,제휴몰,48078000,24555900,14,48.9,234.1
X,아이템-채널,Headwear,직영몰,3859000,3617490,2,6.3,28.8
X,아이템-채널,Headwear,직영점(가두),4834000,4481000,3,7.3,1547.4
X,아이템,Shoes,전체,1536857000,1150911183,7,25.1,-12.2
X,아이템-채널,Shoes,기타,238000,166600,0,30.0,-87.4
X,아이템-채널,Shoes,대리점,317938000,275519720,24,13.3,-28.4
X,아이템-채널,Shoes,면세점,74211000,48031690,4,35.3,-32.9
X,아이템-채널,Shoes,백화점,494863000,353298010,31,28.6,-8.4
X,아이템-채널,Shoes,사입,-119000,-55930,0,53.0,100.0
X,아이템-채널,Shoes,아울렛,152276000,101254070,9,33.5,-13.3
X,아이템-채널,Shoes,자사몰,91531000,68251743,6,25.4,-26.2
X,아이템-채널,Shoes,제휴몰,362928000,264899000,23,27.0,17.4
X,아이템-채널,Shoes,직영몰,33846000,31222180,3,7.8,4.7
X,아이템-채널,Shoes,직영점(가두),9145000,8324100,1,9.0,283.1
X,아이템,과시즌의류,전체,5424367000,2855022436,16,47.4,-32.6
X,아이템-채널,과시즌의류,기타,379000,197640,0,47.9,-80.3
X,아이템-채널,과시즌의류,대리점,763405000,432696520,15,43.3,-6.4
X,아이템-채널,과시즌의류,면세점,0,0,0,0.0,-100.0
X,아이템-채널,과시즌의류,백화점,1443287000,708813730,25,50.9,-63.8
X,아이템-채널,과시즌의류,아울렛,2803250000,1496734880,52,46.6,0.3
X,아이템-채널,과시즌의류,자사몰,3685000,2405296,0,34.7,-90.9
X,아이템-채널,과시즌의류,제휴몰,407700000,212751870,7,47.8,-26.4
X,아이템-채널,과시즌의류,직영몰,2661000,1422500,0,46.5,-66.2
X,아이템,당시즌의류,전체,13647369000,11753452530,67,13.9,17.9
X,아이템-채널,당시즌의류,기타,309000,216300,0,30.0,-95.7
X,아이템-채널,당시즌의류,대리점,4194939000,3583468140,30,14.6,2.1
X,아이템-채널,당시즌의류,면세점,826451000,747769970,6,9.5,14.2
X,아이템-채널,당시즌의류,백화점,3786501000,3243642900,28,14.3,14.2
X,아이템-채널,당시즌의류,아울렛,2346126000,1977731810,17,15.7,71.8
X,아이템-채널,당시즌의류,자사몰,567738000,481855400,4,15.1,18.0
X,아이템-채널,당시즌의류,제휴몰,1276274000,1138089870,10,10.8,11.0
X,아이템-채널,당시즌의류,직영몰,460678000,405428880,3,12.0,19.8
X,아이템-채널,당시즌의류,직영점(가두),188353000,175249260,1,7.0,469.0
