브랜드,Version,채널,TAG가 [v+],실판매액 [v+],실판매액 [v-],수수료차감매출 [v-],할인율(%),출고율(%),매출(출고),매출원가,재고평가감_환입,재고평가감_설정,재고자산평가,매출원가(환입후),매출원가율(%),직접제조원가율(%),매출총이익,매출총이익율(%),지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비,직접이익,직접이익율(%),영업비,영업이익,영업이익율(%)
V,F02_2026_R,직영점(가두),"167,390,000","145,000,000","131,818,000","131,818,000",13.4,100.0,"131,818,000",34556000.0,0,0,,"34,556,000",26.2,22.7,"97,262,000",73.8,,,,,"928,000","4,098,000","2,982,000",,,"3,295,000","27,682,000",,,,"38,986,000","58,276,000",44.2,"69,947,000","-11,671,000",-8.8
V,F02_2026_R,제휴몰,"734,453,000","496,074,000","450,976,000","450,976,000",32.5,100.0,"450,976,000",148532000.0,"23,952,000",0,"-23,952,000","124,580,000",27.6,18.7,"326,396,000",72.4,,,,,"3,176,000","14,021,000","10,203,000","94,304,000",,"11,274,000",,,,,"132,978,000","193,418,000",42.9,"117,894,000","75,524,000",16.8
V,F02_2026_R,자사몰,"221,541,000","185,000,000","168,182,000","168,182,000",16.5,100.0,"168,182,000",45943000.0,"27,694,000",0,"-27,694,000","18,250,000",10.8,9.1,"149,932,000",89.2,,,,,"1,184,000","5,229,000","3,805,000","4,373,000",,"4,205,000",,,,,"18,795,000","131,137,000",78.0,"43,966,000","87,171,000",51.8
V,F02_2026_R,직영몰,"48,069,000","40,000,000","36,364,000","36,364,000",16.8,100.0,"36,364,000",9977000.0,"1,370,000",0,"-1,370,000","8,607,000",23.7,19.7,"27,757,000",76.3,,"9,786,000",,,"256,000","1,131,000","823,000","660,000",,"909,000","20,651,000",,"5,789,000","7,188,000","47,192,000","-19,435,000",-53.5,"19,296,000","-38,731,000",-106.5
V,F02_2026_R,아울렛,"1,352,861,000","538,926,000","489,933,000","489,933,000",60.2,100.0,"489,933,000",261447000.0,"88,791,000",0,"-88,791,000","172,657,000",35.2,14.0,"317,276,000",64.8,,"87,758,000",,,"3,450,000","15,232,000","11,084,000","501,000",,"12,248,000","52,922,000",,"12,053,000","4,168,000","199,417,000","117,860,000",24.1,"130,212,000","-12,353,000",-2.5
W,F02_2026_R,내수합계,"733,333,000","110,000,000","100,000,000","100,000,000",85.0,100.0,"100,000,000",113056000.0,"80,457,000","23,410,000","-57,047,000","56,009,000",56.0,8.4,"43,991,000",44.0,,,,,"14,827,000","16,612,000","15,483,000","875,000","18,117,000","3,750,000",,,,,"69,664,000","-25,673,000",-25.7,"19,599,000","-45,272,000",-45.3
W,F02_2026_R,제휴몰,"466,667,000","70,000,000","63,636,000","63,636,000",85.0,100.0,"63,636,000",71944000.0,"51,200,000",0,"-51,200,000","20,744,000",32.6,4.9,"42,892,000",67.4,,,,,"9,436,000","10,571,000","9,853,000",,"18,117,000","2,386,000",,,,,"50,363,000","-7,471,000",-11.7,"11,654,000","-19,125,000",-30.1
W,F02_2026_R,자사몰,"266,667,000","40,000,000","36,364,000","36,364,000",85.0,100.0,"36,364,000",41112000.0,"29,256,000",0,"-29,256,000","11,855,000",32.6,4.9,"24,508,000",67.4,,,,,"5,392,000","6,041,000","5,630,000","875,000",,"1,364,000",,,,,"19,301,000","5,208,000",14.3,"7,945,000","-2,737,000",-7.5
X,F02_2026_R,내수합계,"48,290,609,000","33,118,029,000","30,107,299,000","24,064,357,000",31.4,79.9,"24,064,357,000",10798409000.0,"466,288,000","535,522,000","69,234,000","10,867,643,000",36.1,24.8,"13,196,714,000",43.8,"1,108,453,000","675,485,000","54,131,000","77,181,000","589,423,000","116,348,000","668,424,000","100,961,000","854,594,000","714,930,000","1,140,330,000","160,770,000","181,551,000","209,310,000","6,651,893,000","6,544,822,000",21.7,"4,636,335,000","1,908,487,000",6.3
X,F02_2026_R,백화점,"13,820,857,000","10,597,524,000","9,634,112,000","6,347,321,000",23.3,65.9,"6,347,321,000",3139515000.0,"124,565,000",0,"-124,565,000","3,014,950,000",31.3,24.0,"3,332,370,000",34.6,"1,108,453,000",,,,"188,611,000","37,230,000","213,891,000",,,"202,316,000",,"770,000",,"95,672,000","1,846,944,000","1,485,426,000",15.4,"1,290,914,000","194,512,000",2.0
X,F02_2026_R,면세점,"1,386,373,000","1,250,000,000","1,136,364,000","681,818,000",9.8,60.0,"681,818,000",319543000.0,"473,000",0,"-473,000","319,069,000",28.1,25.3,"362,749,000",31.9,,,,"77,181,000","22,247,000","4,391,000","25,229,000",,,"23,864,000",,,,"3,592,000","156,504,000","206,244,000",18.1,"152,266,000","53,978,000",4.8
X,F02_2026_R,직영점(가두),"494,461,000","466,000,000","423,636,000","423,636,000",5.8,100.0,"423,636,000",113760000.0,"290,000",0,"-290,000","113,470,000",26.8,25.2,"310,166,000",73.2,,"39,431,000","54,131,000",,"8,294,000","1,637,000","9,405,000","8,050,000",,"8,896,000","22,738,000","160,000,000",,"235,000","312,817,000","-2,651,000",-0.6,"132,670,000","-135,321,000",-31.9
X,F02_2026_R,대리점,"8,135,411,000","7,418,330,000","6,743,936,000","4,442,331,000",8.8,65.9,"4,442,331,000",1875610000.0,"25,043,000",0,"-25,043,000","1,850,567,000",27.4,25.0,"2,591,763,000",38.4,,,,,"132,029,000","26,062,000","149,725,000",,,"141,623,000",,,,,"449,438,000","2,142,325,000",31.8,"894,690,000","1,247,636,000",18.5
X,F02_2026_R,제휴몰,"4,851,728,000","3,926,857,000","3,569,870,000","3,569,870,000",19.1,100.0,"3,569,870,000",1097700000.0,"36,107,000",0,"-36,107,000","1,061,593,000",29.7,24.1,"2,508,277,000",70.3,,,,,"69,889,000","13,796,000","79,256,000",,"854,594,000","74,967,000",,,,,"1,092,502,000","1,415,775,000",39.7,"527,612,000","888,163,000",24.9
X,F02_2026_R,자사몰,"1,542,715,000","1,333,143,000","1,211,948,000","1,211,948,000",13.6,100.0,"1,211,948,000",354852000.0,"926,000",0,"-926,000","353,926,000",29.2,25.2,"858,022,000",70.8,,,,,"23,727,000","4,683,000","26,907,000","35,082,000",,"25,451,000",,,,,"115,850,000","742,172,000",61.2,"360,378,000","381,794,000",31.5
X,F02_2026_R,직영몰,"958,843,000","887,000,000","806,364,000","806,364,000",7.5,100.0,"806,364,000",221436000.0,"583,000",0,"-583,000","220,853,000",27.4,25.3,"585,510,000",72.6,,"99,782,000",,,"15,787,000","3,116,000","17,902,000","14,197,000",,"16,934,000","173,895,000",,"33,854,000","20,813,000","396,280,000","189,230,000",23.5,"250,412,000","-61,182,000",-7.6
X,F02_2026_R,아울렛,"9,279,929,000","5,921,146,000","5,382,860,000","5,382,860,000",36.2,100.0,"5,382,860,000",2022305000.0,"278,302,000",0,"-278,302,000","1,744,004,000",32.4,20.7,"3,638,857,000",67.6,,"536,272,000",,,"105,383,000","20,802,000","119,507,000","43,632,000",,"113,040,000","943,697,000",,"147,697,000","88,999,000","2,119,028,000","1,519,829,000",28.2,"740,982,000","778,847,000",14.5
X,F02_2026_R,사입,"7,820,292,000","1,318,030,000","1,198,209,000","1,198,209,000",83.2,100.0,"1,198,209,000",1653687000.0,0,0,,"1,653,687,000",138.0,23.3,"-455,478,000",-38.0,,,,,"23,458,000","4,630,000","26,602,000",,,"107,839,000",,,,,"162,529,000","-618,007,000",-51.6,"158,961,000","-776,968,000",-64.8
