브랜드코드,채널명,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익,영업비
M,대리점,4299218100,4098266320,3725696793,808700086,1558129956,0,0,0,92362207,101223293,0,0,165668969,0,0,359254469,1198875487,0
M,제휴몰,1584798500,1489579570,1354163273,258231568,1095931705,0,0,0,93847520,36783012,0,358284625,61614486,0,0,550529643,545402062,0
M,자사몰,623235200,558609349,507826677,118000731,389825946,0,0,0,35289126,13797388,20163793,0,23129613,0,0,92379920,297446026,0
M,직영몰,595740700,464169970,421972711,107129624,314843087,0,60056051,0,10260570,11471709,2692115,0,19199792,172895234,33857423,310432894,4410193,0
M,사입,13703529000,3351773220,3047066585,2223308143,823758442,0,0,0,76038097,82781658,0,0,213294640,0,0,372114395,451644047,0
M,기타,20484100,10602240,9638402,3570672,6067730,0,0,0,2610,287857,0,0,674675,0,0,965142,5102588,0
ST,공통,0,0,0,1202577088,-1202577088,0,0,0,0,0,0,0,0,0,0,0,-1202577088,703049717
ST,백화점,94304100,63214180,57467435,22975854,15669009,48727273,0,0,4918706,2169738,0,0,2068825,0,16057571,73942113,-58273104,0
ST,면세점,56533400,43177470,39252245,11898884,10474873,0,0,18016136,3235780,1482179,0,0,1413080,0,2947916,27095091,-16620218,0
ST,제휴몰,384738400,193405170,175822883,83850886,91971997,0,0,0,10735082,6639368,0,48207229,6329622,0,0,71911301,20060696,0
ST,자사몰,161723300,139755830,127050749,36563403,90487346,0,0,0,7719300,4797333,3575328,0,4573832,0,0,20665793,69821553,0
ST,직영몰,117458600,65298230,59362031,27360386,32001645,0,22090908,0,5110904,2241229,470406,0,2137035,50370967,13270834,95692283,-63690638,0
ST,아울렛,81429800,40832730,37120662,17049840,20070822,0,10033387,0,3065423,1401529,0,0,1336343,8816136,2197916,26850734,-6779912,0
ST,기타,3311000,1435840,1305310,717903,587407,0,0,0,0,49388,0,0,46991,0,0,96379,491028,0
V,공통,0,0,0,175973967,-175973967,0,0,0,0,0,0,0,0,0,0,0,-175973967,876223447
V,백화점,957684000,636816370,578923961,155423194,272474126,113559814,0,0,9154433,17567974,247807,0,14473106,0,19788461,174791595,97682531,0
V,제휴몰,728433000,388468200,353152910,67000786,286152124,0,0,0,7903635,10717675,158910,97063048,8828813,0,0,124672081,161480043,0
V,자사몰,79326000,53319220,48472016,12783492,35688524,0,0,0,1153441,1470962,1285795,0,1211800,0,0,5121998,30566526,0
V,직영몰,173871000,119307690,108461542,28256365,80205177,0,16830799,0,1712746,3291032,1837706,0,2711537,31037742,7187500,64609062,15596115,0
V,아울렛,1081906000,532719770,484290687,144880142,339410545,0,65921781,0,7544525,14696515,1808405,0,0,68777868,3996050,162745144,176665401,0
V,기타,4449000,1635000,1486364,-582218,2068582,0,0,0,0,44919,622,0,37159,0,0,82700,1985882,0
W,공통,0,0,0,1079973814,-1079973814,0,0,0,0,0,0,0,0,0,0,0,-1079973814,543166002
W,백화점,20090000,4781120,4346472,5341537,-1994767,1428572,0,0,311903,211485,0,0,162992,0,2098,2117050,-4111817,0
W,면세점,282435000,123239310,112035742,76017880,-12157477,0,0,32272048,8039672,5451898,0,0,4201350,0,3799933,53764901,-65922378,0
W,직영점(가두),87273000,40524640,36840581,23002322,13838259,0,12095398,0,2643673,1792664,1053713,0,1381527,40000000,8409658,67376633,-53538374,0
W,제휴몰,40335000,28001720,25456109,10748689,14707420,0,0,0,1996481,1238737,0,9003120,954600,0,0,13192938,1514482,0
W,자사몰,28685000,18147878,16498068,7969315,8528753,0,0,0,1311766,802926,492409,0,620360,0,0,3227461,5301292,0
W,직영몰,26170000,16564060,15058240,6838896,8219344,0,5820495,0,1080601,732707,0,0,564683,25381181,6507270,40086937,-31867593,0
W,기타,1427000,823960,749055,392021,357034,0,0,0,0,36445,0,0,28090,0,0,64535,292499,0
X,공통,0,0,0,918243770,-918243770,0,0,0,0,0,0,0,0,0,0,0,-918243770,4646969910
X,백화점,13686206000,9873822000,8976201700,2524879078,3469704689,1079873215,0,0,287943611,193988017,0,0,188482052,0,137750124,1888037019,1581667670,0
X,면세점,1597049000,1410434340,1282213045,351306408,418020791,0,0,104120773,40802188,27708609,0,0,26926463,0,5225673,204783706,213237085,0
X,직영점(가두),73012000,69084400,62803997,15441075,47362922,0,15663263,0,1999660,1358647,1413411,0,1318883,63672480,2566597,87992941,-40630019,0
X,대리점,9071805000,7880991030,7164537296,1861868154,2867107030,0,0,0,233992748,154885487,0,0,150450912,0,0,539329147,2327777883,0
X,제휴몰,4653382000,3501054870,3182777097,915724577,2267052520,0,0,0,178820934,68780638,0,755259522,66838267,0,0,1069699361,1197353159,0
X,자사몰,1735292000,1410050880,1281864440,379449683,902414757,0,0,0,72308798,27711973,36974724,0,26911820,0,0,163907315,738507442,0
X,직영몰,730609000,688930970,626300873,157937739,468363134,0,79671914,0,20041362,13530836,10293338,0,13145859,190204800,31167831,358055940,110307194,0
X,아울렛,9030836000,5783883210,5258075609,1576419154,3681656455,0,601691436,0,167668161,113645417,47198323,0,110412492,1196151465,89612305,2326379599,1355276856,0
X,사입,5236654000,781199680,710181529,660169470,50012059,0,0,0,22609594,15345977,0,0,63916349,0,0,101871920,-51859861,0
X,기타,113172000,37445950,34041765,22843510,11198255,0,0,0,0,753365,0,0,714869,0,0,1468234,9730021,0
