브랜드,Version,채널,TAG가 [v+],실판매액 [v+],실판매액 [v-],수수료차감매출 [v-],할인율(%),출고율(%),매출(출고),매출원가,재고평가감_환입,재고평가감_설정,재고자산평가,원가,매출원가율(%),직접제조원가율(%),매출총이익,매출총이익율(%),인건비,물류운송비,로열티,임차관리비,감가상각비,기타,직접비,직접이익,직접이익율(%),영업비,영업이익,영업이익율(%)
W,F11_2025_R,제휴몰,1300000000.0,260000000.0,236364000.0,236364000.0,80.0,100.0,236364000.0,350476000.0,,,-120532000.0,229943000.0,97.28,19.46,6420000.0,2.72,,2.14072635411182e+17,8864000.0,,,67293000.0,135099000.0,-128678000.0,-54.44,35988000.0,-164666000.0,-69.67
W,F11_2025_R,자사몰,500000000.0,100000000.0,90909000.0,90909000.0,80.0,100.0,90909000.0,134799000.0,,,-46359000.0,88440000.0,97.28,19.46,2469000.0,2.72,,8233101364301000.0,3409000.0,,,2187000.0,28266000.0,-25797000.0,-28.38,15127000.0,-40924000.0,-45.02
X,F11_2025_R,내수합계,101092880000.0,76782587000.0,69802352000.0,56290659000.0,24.05,80.64,56290659000.0,22609973000.0,2118473000.0,1166320000.0,-952154000.0,21657819000.0,31.03,23.57,34632840000.0,49.62,2939267000.0,1456904000.0,1514939000.0,3557716000.0,215877000.0,2282754000.0,11967459000.0,22665381000.0,32.47,7701461000.0,14963920000.0,21.44
X,F11_2025_R,백화점,23532270000.0,18984673000.0,17258794000.0,11370752000.0,19.32,65.88,11370752000.0,5316755000.0,313495000.0,,-313495000.0,5003260000.0,28.99,23.39,6367492000.0,36.89,1598861000.0,1.701922476216527e+19,362435000.0,770000.0,98801000.0,0.0,2421090000.0,3946402000.0,22.87,1724141000.0,2222261000.0,12.88
X,F11_2025_R,면세점,2529940000.0,2300000000.0,2090909000.0,1254545000.0,9.09,60.0,1254545000.0,583534000.0,,,,583534000.0,27.91,25.37,671011000.0,32.09,92343000.0,2.0619300020022e+16,43909000.0,0.0,3761000.0,0.0,183654000.0,487357000.0,23.31,208880000.0,278477000.0,13.32
X,F11_2025_R,직영점(가두),647517000.0,607000000.0,551818000.0,551818000.0,6.26,100.0,551818000.0,149474000.0,927000.0,,-927000.0,148547000.0,26.92,25.24,403272000.0,73.08,5070959455000.0,54427925284000.0,11588000.0,29618160000000.0,211000.0,10486000.0,333584000.0,69688000.0,12.63,96124000.0,-26436000.0,-4.79
X,F11_2025_R,대리점,24177291000.0,22044499000.0,20040453000.0,13253166000.0,8.82,66.13,13253166000.0,5569673000.0,56274000.0,,-56274000.0,5513399000.0,27.51,25.08,7739766000.0,38.62,0.0,1.9762228753191907e+19,420850000.0,0.0,0.0,0.0,839131000.0,6900635000.0,34.43,1991874000.0,4908761000.0,24.49
X,F11_2025_R,제휴몰,11375976000.0,9310714000.0,8464285000.0,8464285000.0,18.15,100.0,8464285000.0,2561766000.0,155649000.0,,-155649000.0,2406117000.0,28.43,23.27,6058168000.0,71.57,0.0,8.34681214481054e+17,177750000.0,0.0,0.0,2026273000.0,2380688000.0,3677480000.0,43.45,911246000.0,2766234000.0,32.68
X,F11_2025_R,자사몰,4524679000.0,3389286000.0,3081169000.0,3081169000.0,25.09,100.0,3081169000.0,1017174000.0,60026000.0,,-60026000.0,957148000.0,31.06,23.27,2124021000.0,68.94,0.0,3.0384442129505e+16,64705000.0,0.0,0.0,89189000.0,218203000.0,1905818000.0,61.85,566459000.0,1339359000.0,43.47
X,F11_2025_R,직영몰,2431670000.0,2233000000.0,2030000000.0,2030000000.0,8.17,100.0,2030000000.0,560507000.0,5174000.0,,-5174000.0,555333000.0,27.36,25.12,1474667000.0,72.64,158859000.0,2.0018291219439e+16,42630000.0,38522833854000.0,21141000.0,35742000.0,719824000.0,754843000.0,37.18,349453000.0,405390000.0,19.97
X,F11_2025_R,아울렛,25853614000.0,17130826000.0,15573478000.0,15573478000.0,33.74,100.0,15573478000.0,5613996000.0,891828000.0,,-891828000.0,4722168000.0,30.32,20.09,10851310000.0,69.68,979040000.0,1.450936992149913e+19,327043000.0,2800550147697000.0,91964000.0,121064000.0,4792406000.0,6058905000.0,38.91,1575489000.0,4483416000.0,28.79
X,F11_2025_R,사입,6019923000.0,782590000.0,711445000.0,711445000.0,87.0,100.0,711445000.0,1237092000.0,635100000.0,,-635100000.0,601992000.0,84.62,11.0,109453000.0,15.38,0.0,701610216813000.0,64030000.0,0.0,0.0,0.0,78879000.0,30574000.0,4.3,70712000.0,-40139000.0,-5.64
