브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
V,7.0,아울렛,과시즌의류,팬츠,PT,23696663,8768601,7971442,7971442,3337557,4633885
V,7.0,아울렛,과시즌의류,후드티,HD,5339063,2056845,1869857,1869857,819693,1050164
V,7.0,아울렛,당시즌의류,긴팔티셔츠,RL,198517,178665,162422,162422,53987,108435
V,7.0,아울렛,당시즌의류,니트가디건,KC,-407482,-407482,-370438,-370438,-62691,-307747
V,7.0,아울렛,당시즌의류,니트풀오버,KP,2235929,2012336,1829393,1829393,403274,1426119
V,7.0,아울렛,당시즌의류,다운베스트,DV,720930,648837,589852,589852,159677,430175
V,7.0,아울렛,당시즌의류,다운점퍼,DJ,418306707,366364729,333058817,333058817,72714631,260344186
V,7.0,아울렛,당시즌의류,맨투맨,MT,0,0,0,0,0,0
V,7.0,아울렛,당시즌의류,반팔다운,DH,16769464,15206404,13824001,13824001,2803705,11020296
V,7.0,아울렛,당시즌의류,베스트,VT,1107516,996764,906149,906149,287120,619029
V,7.0,아울렛,당시즌의류,팬츠,PT,1034378,930940,846309,846309,287605,558704
V,7.0,아울렛,당시즌의류,후드티,HD,470172,423155,384685,384685,123046,261639
V,7.0,아울렛,차시즌의류,반팔다운,DH,2277722,2049949,1863590,1863590,339521,1524069
V,11.0,직영몰,Acc_etc,토시,ML,156724,141052,128228,128228,27767,100461
V,11.0,직영몰,Bag,가방,BG,261207,235086,213714,213714,51048,162666
V,11.0,직영몰,Bag,백팩,BK,303000,163620,148746,148746,56102,92644
V,11.0,직영몰,Bag,크로스백,CR,605999,545399,495818,495818,110996,384822
V,11.0,직영몰,Bag,토드백,TG,3635996,3272396,2974909,2974909,692887,2282022
V,11.0,직영몰,Headwear,비니,BN,438827,394944,359040,359040,126880,232160
V,11.0,직영몰,Headwear,운동모,CP,898551,808696,735177,735177,152025,583152
V,11.0,직영몰,Headwear,햇,HT,929896,836906,760824,760824,122898,637926
V,11.0,직영몰,Shoes,방한화,WB,8399360,7559424,6872192,6872192,2106441,4765751
V,11.0,직영몰,과시즌의류,다운점퍼,DJ,5704752,3038355,2762141,2762141,710129,2052012
V,11.0,직영몰,과시즌의류,맨투맨,MT,0,0,0,0,0,0
V,11.0,직영몰,과시즌의류,반팔다운,DH,3103134,2637664,2397878,2397878,487053,1910825
