브랜드,Version,채널,TAG가 [v+],실판매액 [v+],실판매액 [v-],수수료차감매출 [v-],할인율(%),출고율(%),매출(출고),매출원가,재고평가감_환입,재고평가감_설정,재고자산평가,매출원가(환입후),매출원가율(%),직접제조원가율(%),매출총이익,매출총이익율(%),지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비,직접이익,직접이익율(%),영업비,영업이익,영업이익율(%),원가
M,F12_2025_R,백화점,"7,671,265,000","7,398,613,000","6,726,012,000","4,385,991,000",3.5,65.2,"4,385,991,000",1283863000.0,"3,549,000",0,"-3,549,000","1,444,949,000",21.5,20.7,"3,105,678,000",46.2,"698,255,000",,,,"126,094,000","44,726,000","141,271,000",,,"307,020,000",,"700,000",,"82,502,000","1,400,567,000","1,705,111,000",25.4,"680,906,000","1,024,205,000",15.2,
M,F12_2025_R,면세점,"10,800,643,000","10,600,000,000","9,636,364,000","5,974,545,000",1.9,62.0,"5,974,545,000",1808023000.0,"4,997,000",0,"-4,997,000","1,803,026,000",18.7,18.4,"4,171,520,000",43.3,,,,"519,364,000","180,655,000","64,078,000","202,399,000",,,"418,218,000",,"6,525,000",,"11,758,000","1,402,997,000","2,768,522,000",28.7,"975,598,000","1,792,925,000",18.6,
M,F12_2025_R,RF,"2,373,305,000","2,226,725,000","2,024,296,000","1,512,910,000",6.2,74.7,"1,512,910,000",396321000.0,"1,078,000",0,"-1,078,000",0,0.0,0.0,"1,117,668,000",55.2,"43,283,000","42,598",,,"37,949,000","13,461,000","42,519,000","13,538,000",,"90,045,000",,"81,225,000","41,935,000","16,697,000","423,252,000","694,415,000",34.3,"254,867,000","439,549,000",21.7,395243000.0
M,F12_2025_R,직영점(가두),"2,601,384,000","2,409,233,000","2,190,212,000","2,190,212,000",7.4,100.0,"2,190,212,000",433531000.0,"1,154,000",0,"-1,154,000","514,710,000",23.5,21.8,"1,757,835,000",80.3,,,"178,661,000",,"41,061,000","14,563,000","46,002,000","51,904,000",,"99,655,000","18,533,000","498,000,000","10,887,000","51,540,000","968,208,000","789,627,000",36.0,"372,188,000","417,439,000",19.1,
M,F12_2025_R,대리점,"5,337,422,000","5,110,621,000","4,646,019,000","3,109,638,000",4.2,66.9,"3,109,638,000",893007000.0,"2,492,000",0,"-2,492,000","988,683,000",21.3,20.4,"2,219,122,000",47.8,,,,,"87,099,000","30,895,000","97,583,000",,,"217,675,000",,,,,"433,252,000","1,785,870,000",38.4,"469,407,000","1,316,463,000",28.3,
M,F12_2025_R,제휴몰,"2,363,142,000","2,303,000,000","2,093,636,000","2,093,636,000",2.5,100.0,"2,093,636,000",395793000.0,"1,085,000",0,"-1,085,000","394,707,000",18.9,18.4,"1,698,929,000",81.2,,,,,"39,250,000","13,922,000","43,974,000",,"517,906,000","95,260,000",,,,,"710,312,000","988,617,000",47.2,"241,213,000","747,403,000",35.7,
M,F12_2025_R,자사몰,"846,186,000","706,808,000","642,552,000","642,552,000",16.5,100.0,"642,552,000",140232000.0,"355,000",0,"-355,000","189,984,000",29.6,24.7,"502,675,000",78.2,,,,,"12,046,000","4,272,000","13,496,000","24,675,000",,"29,236,000",,,,,"83,727,000","418,950,000",65.2,"132,735,000","286,214,000",44.5,
M,F12_2025_R,직영몰,"663,048,000","645,000,000","586,364,000","586,364,000",2.7,100.0,"586,364,000",110992000.0,"304,000",0,"-304,000","110,688,000",18.9,18.4,"475,676,000",81.1,,"69,800,000",,,"10,993,000","3,899,000","12,316,000","4,806,000",,"26,680,000","132,142,000","2,907,000","31,658,000","20,599,000","315,800,000","159,876,000",27.3,"95,004,000","64,872,000",11.1,
M,F12_2025_R,사입,"316,388,000","79,097,000","71,906,000","71,906,000",75.0,100.0,"71,906,000",56246000.0,"13,961,000",0,"-13,961,000","42,284,000",58.8,14.7,"29,622,000",41.2,,,,,"1,348,000","478,000","1,510,000",,,"5,033,000",,,,,"8,370,000","21,252,000",29.6,"7,265,000","13,987,000",19.4,
ST,F12_2025_R,내수합계,"1,403,219,000","800,000,000","727,273,000","689,100,000",43.0,94.8,"689,100,000",348693000.0,"65,145,000","130,198,000","65,053,000","413,746,000",56.9,32.4,"275,354,000",37.9,"2,273,000","51,859,000","19,682,000","15,682,000","21,895,000","24,108,000","37,935,000","6,384,000","31,779,000","26,182,000","75,450,000","3,635,000","9,674,000","27,098,000","353,635,000","-78,281,000",-10.8,"631,593,000","-709,874,000",-97.6,
ST,F12_2025_R,백화점,"17,290,000","10,000,000","9,091,000","6,100,000",42.2,67.1,"6,100,000",4295000.0,"814,000",0,"-814,000","3,480,000",38.3,22.1,"2,619,000",28.8,"2,273,000",,,,"274,000","301,000","474,000",,,"327,000",,,,"8,628,000","12,277,000","-9,658,000",-106.2,"7,518,000","-17,176,000",-188.9,
ST,F12_2025_R,면세점,"153,839,000","90,000,000","81,818,000","46,636,000",41.5,57.0,"46,636,000",38262000.0,"7,329,000",0,"-7,329,000","30,933,000",37.8,22.1,"15,703,000",19.2,,,,"15,682,000","2,463,000","2,712,000","4,268,000",,,"2,945,000",,,,"2,948,000","31,018,000","-15,315,000",-18.7,"67,661,000","-82,976,000",-101.4,
ST,F12_2025_R,직영점(가두),"105,882,000","90,000,000","81,818,000","81,818,000",15.0,100.0,"81,818,000",26335000.0,0,0,,"26,335,000",32.2,27.4,"55,483,000",67.8,,,"19,682,000",,"2,463,000","2,712,000","4,268,000",,,"2,945,000","2,864,000",,,,"34,934,000","20,549,000",25.1,"73,247,000","-52,698,000",-64.4,
ST,F12_2025_R,제휴몰,"178,377,000","110,000,000","100,000,000","100,000,000",38.3,100.0,"100,000,000",43963000.0,"8,251,000",0,"-8,251,000","35,711,000",35.7,22.0,"64,289,000",64.3,,,,,"3,011,000","3,315,000","5,216,000",,"31,779,000","3,600,000",,,,,"46,921,000","17,368,000",17.4,"87,570,000","-70,202,000",-70.2,
ST,F12_2025_R,자사몰,"256,398,000","150,000,000","136,364,000","136,364,000",41.5,100.0,"136,364,000",63770000.0,"12,215,000",0,"-12,215,000","51,555,000",37.8,22.1,"84,809,000",62.2,,,,,"4,105,000","4,520,000","7,113,000","4,227,000",,"4,909,000",,,,,"24,875,000","59,934,000",44.0,"119,748,000","-59,813,000",-43.9,
ST,F12_2025_R,직영몰,"354,899,000","205,000,000","186,364,000","186,364,000",42.2,100.0,"186,364,000",88162000.0,"16,694,000",0,"-16,694,000","71,469,000",38.4,22.1,"114,895,000",61.6,,"26,552,000",,,"5,611,000","6,178,000","9,721,000","2,157,000",,"6,709,000","56,717,000","3,635,000","8,062,000","13,324,000","138,664,000","-23,769,000",-12.8,"166,840,000","-190,609,000",-102.3,
ST,F12_2025_R,아울렛,"336,535,000","145,000,000","131,818,000","131,818,000",56.9,100.0,"131,818,000",83907000.0,"19,842,000",0,"-19,842,000","64,065,000",48.6,20.9,"67,753,000",51.4,,"25,308,000",,,"3,968,000","4,370,000","6,876,000",,,"4,745,000","15,869,000",,"1,612,000","2,198,000","64,946,000","2,807,000",2.1,"109,009,000","-106,202,000",-80.6,
V,F12_2025_R,내수합계,"10,615,216,000","6,800,000,000","6,181,818,000","5,526,968,000",35.9,89.4,"5,526,968,000",2144839000.0,"370,390,000","119,493,000","-250,897,000","1,893,942,000",30.6,19.6,"3,633,026,000",58.8,"236,426,000","152,513,000",,,"26,139,000","32,033,000","54,502,000","248,477,000",,"154,545,000","207,185,000",,"17,842,000","29,415,000","1,159,078,000","2,473,948,000",40.0,"1,349,453,000","1,124,495,000",18.2,
V,F12_2025_R,백화점,"3,979,444,000","3,335,000,000","3,031,818,000","2,376,968,000",16.2,78.4,"2,376,968,000",804251000.0,"1,657,000",0,"-1,657,000","802,594,000",26.5,22.2,"1,574,374,000",51.9,"236,426,000",,,,"12,820,000","15,710,000","26,730,000",,,"75,795,000",,,,"18,059,000","385,540,000","1,188,834,000",39.2,"623,666,000","565,168,000",18.6,
