브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
ST,3.0,직영점(가두),과시즌의류,니트가디건,KC,3350000,1950200,1772908,1772908,579080,1193828
ST,3.0,직영점(가두),과시즌의류,니트풀오버,KP,538000,215200,195636,195636,53800,141836
ST,3.0,직영점(가두),과시즌의류,다운점퍼,DJ,12540000,7511700,6828806,6828806,1919520,4909286
ST,3.0,직영점(가두),과시즌의류,레깅스,LG,198000,198000,179999,179999,52010,127989
ST,3.0,직영점(가두),과시즌의류,맨투맨,MT,1858000,1714270,1558422,1558422,347340,1211082
ST,3.0,직영점(가두),과시즌의류,반팔티셔츠,RS,552000,483000,439088,439088,144170,294918
ST,3.0,직영점(가두),과시즌의류,방풍자켓,WJ,816000,716500,651362,651362,164550,486812
ST,3.0,직영점(가두),과시즌의류,스커트,SK,2166000,2134200,1940174,1940174,432820,1507354
ST,3.0,직영점(가두),과시즌의류,트레이닝(상의),TR,2077000,1855400,1686720,1686720,453070,1233650
ST,3.0,직영점(가두),과시즌의류,팬츠,PT,5051000,4016570,3651406,3651406,933290,2718116
ST,3.0,직영점(가두),과시즌의류,폴로 티셔츠,PQ,1211000,1082900,984449,984449,240580,743869
ST,3.0,직영점(가두),당시즌의류,긴팔티셔츠,RL,1089000,960300,873000,873000,251230,621770
ST,3.0,직영점(가두),당시즌의류,니트가디건,KC,4518000,4319150,3926492,3926492,1138170,2788322
ST,3.0,직영점(가두),당시즌의류,니트베스트,KV,278000,278000,252726,252726,62920,189806
ST,3.0,직영점(가두),당시즌의류,니트풀오버,KP,5350000,5032060,4574587,4574587,1500030,3074557
ST,3.0,직영점(가두),당시즌의류,다운점퍼,DJ,11188000,10207210,9279268,9279268,3930600,5348668
ST,3.0,직영점(가두),당시즌의류,맨투맨,MT,12862000,12517240,11379261,11379261,2807290,8571971
ST,3.0,직영점(가두),당시즌의류,반바지,SP,198000,142600,129635,129635,67870,61765
ST,3.0,직영점(가두),당시즌의류,방풍자켓,WJ,249000,124500,113181,113181,79550,33631
ST,3.0,직영점(가두),당시즌의류,스커트,SK,4470000,4353900,3958078,3958078,980220,2977858
ST,3.0,직영점(가두),당시즌의류,윈드티셔츠,WT,159000,143100,130090,130090,55570,74520
ST,3.0,직영점(가두),당시즌의류,트레이닝(상의),TR,3211000,3144770,2858874,2858874,732690,2126184
ST,3.0,직영점(가두),당시즌의류,패딩,PD,1245000,1095600,995997,995997,463050,532947
ST,3.0,직영점(가두),당시즌의류,팬츠,PT,5027000,4761380,4328510,4328510,1307970,3020540
ST,3.0,직영점(가두),당시즌의류,폴로 티셔츠,PQ,1708000,1708000,1552720,1552720,422190,1130530
ST,3.0,직영점(가두),당시즌의류,후드티,HD,447000,432100,392817,392817,102870,289947
ST,3.0,직영점(가두),차시즌의류,니트풀오버,KP,1432000,1401570,1274152,1274152,382480,891672
ST,3.0,직영점(가두),차시즌의류,트레이닝(상의),TR,149000,149000,135454,135454,41650,93804
ST,3.0,직영점(가두),차시즌의류,팬츠,PT,654000,654000,594540,594540,179440,415100
ST,4.0,자사몰,Acc_etc,기타소품류,AC,65700,51050,46410,46410,18000,28410
ST,4.0,자사몰,Acc_etc,머플러,AM,287000,256300,233000,233000,53830,179170
ST,4.0,자사몰,Acc_etc,보호대,PR,276000,192830,175299,175299,34349,140950
ST,4.0,자사몰,Acc_etc,양말,SO,2351700,1903350,1730311,1730311,393420,1336891
ST,4.0,자사몰,Acc_etc,헤드밴드,HB,165000,144340,131217,131217,36560,94657
ST,4.0,자사몰,Bag,라켓백,RB,179000,147100,133727,133727,45430,88297
ST,4.0,자사몰,Bag,백팩,BK,1601000,1221590,1110536,1110536,399070,711466
ST,4.0,자사몰,Bag,보스톤백,BW,1671000,1521700,1383362,1383362,376950,1006412
ST,4.0,자사몰,Bag,토드백,TG,1390000,1068070,970972,970972,338620,632352
ST,4.0,자사몰,Headwear,비니,BN,345000,296750,269773,269773,80000,189773
ST,4.0,자사몰,Headwear,선캡,SC,1360000,1121460,1019509,1019509,247980,771529
ST,4.0,자사몰,Headwear,운동모,CP,2890000,2572750,2338866,2338866,505710,1833156
ST,4.0,자사몰,Shoes,슬리퍼,LP,198000,173610,157827,157827,40000,117827
ST,4.0,자사몰,Shoes,신발,SH,194626000,32270690,29337088,29337088,12712723,16624365
ST,4.0,자사몰,과시즌의류,긴팔티셔츠,RL,287000,119830,108937,108937,51660,57277
ST,4.0,자사몰,과시즌의류,니트가디건,KC,-279000,-167400,-152182,-152182,-50220,-101962
ST,4.0,자사몰,과시즌의류,니트반팔티셔츠,KU,129000,114780,104345,104345,16900,87445
ST,4.0,자사몰,과시즌의류,니트풀오버,KP,836000,450360,409418,409418,150480,258938
ST,4.0,자사몰,과시즌의류,다운베스트,DV,518000,277200,252000,252000,93240,158760
