브랜드,시즌,유통채널,채널명,고객,PH01-1,아이템_대분류,PH01-2,아이템_중분류,PH01-3,아이템코드,아이템_소분류,합계 : 1. 매출액 Actual,합계 : 제품/상품 매출액 Actual,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 수수료차감매출 Actual,합계 : 출고매출액(V-) Actual,합계 : 2. 매출원가 Actual,합계 : 표준 매출원가,표준제간비,재고평가감 환입,매출원가(평가감환입반영),매출총이익
X,24F,6.0,대리점,104586.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,1150272,1150272,3553000,1701800,1547087,1265298,1150272,651030,651030,37108,-176220,511918,638354
X,24F,6.0,대리점,104586.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120004,HD,후드티,190473,190473,485000,291000,264546,209520,190473,92510,92510,5273,-27696,70087,120386
X,24F,6.0,대리점,104586.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120009,MT,맨투맨,54589,54589,139000,83400,75818,60048,54589,26800,26800,1527,-8224,20103,34486
X,24F,6.0,대리점,104586.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120016,TL,긴팔카라티셔츠,38880,38880,99000,59400,54000,42768,38880,15960,15960,909,-2730,14139,24741
X,24F,6.0,대리점,104586.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),136473,136473,417000,208500,189546,150120,136473,79030,79030,4504,-23303,60231,76242
X,24F,6.0,대리점,104586.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130009,PT,팬츠,81884,81884,278000,125100,113728,90072,81884,40790,40790,2325,-3639,39476,42408
X,24F,6.0,대리점,104586.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),135556,135556,436000,207100,188272,149112,135556,79880,79880,4553,-21614,62819,72737
X,24F,6.0,대리점,104870.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110024,SS,소프트쉘,0,0,0,0,0,0,0,0,0,0,0,0,0
X,24F,6.0,대리점,104987.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,214691,214691,738000,369000,335454,236161,214691,146080,146080,8326,-47456,106950,107741
X,24F,6.0,대리점,105147.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,261800,261800,849000,411400,374000,287980,261800,174290,174290,9934,-60832,123392,138408
X,24F,6.0,대리점,105147.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110024,SS,소프트쉘,135482,135482,388000,212900,193545,149030,135482,100500,100500,5728,-48649,57579,77903
X,24F,6.0,대리점,105147.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120009,MT,맨투맨,45310,45310,178000,71200,64728,49841,45310,25980,25980,1480,-2192,25268,20042
X,24F,6.0,대리점,105160.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,252610,252610,849000,375500,341364,277872,252610,170790,170790,9735,-57332,123193,129417
